32768B_2W_64B_16384B_1W_64B,65.88,136.44,64.17,139.44,62.65,142.49,61.31,145.58,60.13,148.68,59.09,151.78,58.18,154.87,
32768B_2W_64B_16384B_2W_64B,60.40,146.45,59.33,149.52,58.39,152.60,57.57,155.68,56.86,158.73,56.24,161.74,55.70,164.69,
32768B_2W_64B_8192B_1W_64B,69.38,134.97,67.31,137.90,65.45,140.88,63.79,143.92,62.31,146.98,61.01,150.07,59.87,153.16,
32768B_4W_64B_8192B_1W_64B,58.39,154.68,57.57,157.70,56.86,160.70,56.24,163.67,55.70,166.59,55.23,169.45,54.83,172.24,
8192B_1W_64B_8192B_1W_64B,102.19,119.39,92.73,126.12,89.94,128.37,85.07,132.68,83.74,133.96,82.74,135.06,82.11,135.57,
32768B_4W_64B_16384B_2W_64B,55.02,166.02,54.65,168.90,54.32,171.70,54.05,174.43,53.81,177.06,53.60,179.59,53.42,182.02,
16384B_1W_64B_8192B_1W_64B,91.14,123.40,87.52,125.92,84.07,128.53,80.82,131.24,77.77,134.03,74.95,136.89,72.36,139.83,
16384B_1W_64B_16384B_2W_64B,73.58,133.61,71.10,136.44,68.86,139.35,66.84,142.31,65.03,145.33,63.41,148.37,61.98,151.43,
16384B_1W_64B_16384B_1W_64B,87.82,120.45,78.36,128.55,75.57,131.32,70.70,136.70,69.37,138.31,68.37,139.65,67.73,140.37,
32768B_1W_64B_16384B_2W_64B,65.88,136.44,64.17,139.44,62.65,142.49,61.31,145.58,60.13,148.68,59.09,151.78,58.18,154.87,
16384B_1W_64B_32768B_1W_64B,74.21,126.79,71.68,129.62,69.38,132.52,67.31,135.50,65.45,138.53,63.79,141.60,62.31,144.70,
8192B_1W_64B_32768B_4W_64B,58.39,154.68,57.57,157.70,56.86,160.70,56.24,163.67,55.70,166.59,55.23,169.45,54.83,172.24,
8192B_1W_64B_32768B_2W_64B,69.38,134.97,67.31,137.90,65.45,140.88,63.79,143.92,62.31,146.98,61.01,150.07,59.87,153.16,
8192B_1W_64B_32768B_1W_64B,79.21,125.52,76.28,128.25,73.58,131.07,71.11,133.96,68.86,136.93,66.84,139.96,65.03,143.02,
8192B_1W_64B_16384B_1W_64B,91.14,123.40,87.52,125.92,84.07,128.53,80.82,131.24,77.77,134.03,74.95,136.89,72.36,139.83,
8192B_1W_64B_16384B_2W_64B,78.48,132.38,75.60,135.11,72.96,137.92,70.54,140.79,68.35,143.73,66.38,146.71,64.62,149.73,
32768B_1W_64B_32768B_4W_64B,55.12,159.88,54.73,162.86,54.40,165.78,54.11,168.63,53.86,171.38,53.65,174.04,53.47,176.60,
32768B_1W_64B_32768B_2W_64B,60.68,139.65,59.57,142.74,58.60,145.86,57.76,148.97,57.02,152.07,56.38,155.13,55.82,158.15,
32768B_1W_64B_32768B_1W_64B,77.55,121.95,68.08,131.48,62.77,138.09,60.42,141.40,59.09,143.40,58.09,145.00,57.45,145.96,
32768B_4W_64B_32768B_4W_64B,54.32,184.60,52.30,189.65,54.44,184.31,52.12,190.13,50.28,195.15,49.64,197.00,49.75,196.64,
