32768B_2W_64B_16384B_1W_64B,0.94,154.30,0.92,162.85,0.91,165.20,0.90,165.20,0.89,165.81,0.88,166.62,0.88,166.59,
32768B_2W_64B_16384B_2W_64B,0.86,171.10,0.86,175.35,0.85,175.51,0.85,175.93,0.85,177.25,0.84,178.19,0.84,177.85,
32768B_2W_64B_8192B_1W_64B,0.98,151.84,0.96,160.31,0.95,162.73,0.93,162.66,0.92,163.10,0.91,163.73,0.90,163.65,
32768B_4W_64B_8192B_1W_64B,0.84,181.68,0.84,182.86,0.84,183.06,0.83,184.61,0.83,186.57,0.83,187.63,0.83,187.19,
8192B_1W_64B_8192B_1W_64B,1.63,130.00,1.48,137.85,1.44,139.80,1.43,140.79,1.42,141.15,1.42,141.39,1.42,141.46,
32768B_4W_64B_16384B_2W_64B,0.82,194.97,0.82,194.01,0.82,194.54,0.82,196.44,0.82,198.30,0.82,199.20,0.82,198.71,
16384B_1W_64B_8192B_1W_64B,1.48,132.06,1.42,140.78,1.36,144.98,1.31,144.81,1.26,144.02,1.22,144.48,1.18,145.58,
16384B_1W_64B_16384B_2W_64B,1.03,149.30,1.01,157.53,0.99,159.90,0.97,159.67,0.95,159.88,0.94,160.34,0.93,160.22,
16384B_1W_64B_16384B_1W_64B,1.40,134.21,1.24,144.05,1.21,146.56,1.19,147.82,1.19,148.22,1.18,148.61,1.18,148.69,
32768B_1W_64B_16384B_2W_64B,0.94,154.30,0.92,162.85,0.91,165.20,0.90,165.20,0.89,165.81,0.88,166.62,0.88,166.59,
16384B_1W_64B_32768B_1W_64B,1.12,136.75,1.09,147.93,1.06,153.51,1.04,154.24,1.01,154.12,0.99,154.71,0.97,155.29,
8192B_1W_64B_32768B_4W_64B,0.84,181.68,0.84,182.86,0.84,183.06,0.83,184.61,0.83,186.57,0.83,187.63,0.83,187.19,
8192B_1W_64B_32768B_2W_64B,0.98,151.84,0.96,160.31,0.95,162.73,0.93,162.66,0.92,163.10,0.91,163.73,0.90,163.65,
8192B_1W_64B_32768B_1W_64B,1.21,135.18,1.17,145.66,1.14,150.89,1.11,151.37,1.08,151.00,1.05,151.46,1.03,152.11,
8192B_1W_64B_16384B_1W_64B,1.48,132.06,1.42,140.78,1.36,144.98,1.31,144.81,1.26,144.02,1.22,144.48,1.18,145.58,
8192B_1W_64B_16384B_2W_64B,1.10,146.58,1.07,154.45,1.04,156.66,1.02,156.23,1.00,156.24,0.98,156.60,0.96,156.55,
32768B_1W_64B_32768B_4W_64B,0.83,189.15,0.82,187.93,0.82,186.41,0.82,186.69,0.82,187.72,0.82,188.29,0.82,187.75,
32768B_1W_64B_32768B_2W_64B,0.88,159.55,0.88,167.60,0.87,169.27,0.86,168.94,0.86,169.52,0.85,170.39,0.85,170.35,
32768B_1W_64B_32768B_1W_64B,1.09,139.67,0.94,153.60,0.89,159.78,0.89,159.16,0.89,159.61,0.88,160.35,0.88,160.46,
32768B_4W_64B_32768B_4W_64B,0.78,209.17,0.78,209.20,0.78,209.10,0.78,209.20,0.78,209.20,0.78,209.20,0.78,209.20,
32768B_4W_64B_32768B_1W_64B,0.83,189.15,0.82,187.93,0.82,186.41,0.82,186.69,0.82,187.72,0.82,188.29,0.82,187.75,
32768B_4W_64B_32768B_2W_64B,0.82,197.99,0.82,195.20,0.82,194.27,0.82,194.92,0.82,195.81,0.82,196.09,0.82,195.38,
16384B_2W_64B_32768B_4W_64B,0.82,194.97,0.82,194.01,0.82,194.54,0.82,196.44,0.82,198.30,0.82,199.20,0.82,198.71,
16384B_2W_64B_16384B_2W_64B,0.93,164.54,0.88,170.60,0.88,169.96,0.87,171.74,0.87,171.85,0.87,172.19,0.86,172.31,
16384B_2W_64B_16384B_1W_64B,1.03,149.30,1.01,157.53,0.99,159.90,0.97,159.67,0.95,159.88,0.94,160.34,0.93,160.22,
32768B_1W_64B_8192B_1W_64B,1.21,135.18,1.17,145.66,1.14,150.89,1.11,151.37,1.08,151.00,1.05,151.46,1.03,152.11,
16384B_1W_64B_32768B_2W_64B,0.94,154.30,0.92,162.85,0.91,165.20,0.90,165.20,0.89,165.81,0.88,166.62,0.88,166.59,
16384B_1W_64B_32768B_4W_64B,0.83,184.85,0.83,185.42,0.83,185.19,0.83,186.44,0.83,188.18,0.83,189.14,0.82,188.68,
16384B_2W_64B_32768B_1W_64B,0.94,154.30,0.92,162.85,0.91,165.20,0.90,165.20,0.89,165.81,0.88,166.62,0.88,166.59,
16384B_2W_64B_32768B_2W_64B,0.86,171.10,0.86,175.35,0.85,175.51,0.85,175.93,0.85,177.25,0.84,178.19,0.84,177.85,
32768B_1W_64B_16384B_1W_64B,1.12,136.75,1.09,147.93,1.06,153.51,1.04,154.24,1.01,154.12,0.99,154.71,0.97,155.29,
32768B_4W_64B_16384B_1W_64B,0.83,184.85,0.83,185.42,0.83,185.19,0.83,186.44,0.83,188.18,0.83,189.14,0.82,188.68,
16384B_2W_64B_8192B_1W_64B,1.10,146.58,1.07,154.45,1.04,156.66,1.02,156.23,1.00,156.24,0.98,156.60,0.96,156.55,
32768B_2W_64B_32768B_4W_64B,0.82,197.99,0.82,195.20,0.82,194.27,0.82,194.92,0.82,195.81,0.82,196.09,0.82,195.38,
32768B_2W_64B_32768B_2W_64B,0.81,177.79,0.80,178.20,0.81,176.99,0.80,178.90,0.80,179.00,0.79,179.39,0.79,179.54,
32768B_2W_64B_32768B_1W_64B,0.88,159.55,0.88,167.60,0.87,169.27,0.86,168.94,0.86,169.52,0.85,170.39,0.85,170.35,
32768B_2W_32B_16384B_1W_32B,1.13,131.55,1.10,135.24,1.07,135.04,1.05,134.11,1.02,135.11,1.00,137.57,0.98,140.46,
32768B_2W_32B_16384B_2W_32B,0.94,144.25,0.93,146.10,0.92,144.88,0.91,144.10,0.90,144.39,0.89,144.89,0.88,145.37,
32768B_2W_32B_8192B_1W_32B,1.23,129.30,1.19,132.49,1.15,132.13,1.12,131.37,1.09,132.90,1.06,136.16,1.04,139.86,
32768B_4W_32B_8192B_1W_32B,0.88,154.58,0.87,154.08,0.87,152.51,0.86,151.84,0.86,151.36,0.85,150.47,0.85,149.41,
8192B_1W_32B_8192B_1W_32B,2.48,102.46,2.38,104.53,2.08,111.96,2.36,104.91,2.36,105.02,1.76,122.60,1.65,126.98,
32768B_4W_32B_16384B_2W_32B,0.83,159.81,0.83,157.65,0.83,156.41,0.83,156.00,0.83,155.22,0.83,153.63,0.83,151.48,
16384B_1W_32B_8192B_1W_32B,2.19,108.09,2.09,110.00,2.00,110.28,1.91,110.19,1.83,113.33,1.75,120.42,1.67,129.04,
16384B_1W_32B_16384B_2W_32B,1.35,127.14,1.30,129.78,1.26,129.28,1.21,128.77,1.17,130.97,1.14,135.13,1.11,139.71,
16384B_1W_32B_16384B_1W_32B,1.90,110.50,1.79,113.70,1.80,113.67,1.78,114.34,1.77,114.49,1.51,124.84,1.41,130.09,
32768B_1W_32B_16384B_2W_32B,1.13,131.55,1.10,135.24,1.07,135.04,1.05,134.11,1.02,135.11,1.00,137.57,0.98,140.46,
16384B_1W_32B_32768B_1W_32B,1.55,117.38,1.48,121.39,1.42,122.43,1.37,121.75,1.31,123.11,1.27,127.46,1.22,133.14,
8192B_1W_32B_32768B_4W_32B,0.88,154.58,0.87,154.08,0.87,152.51,0.86,151.84,0.86,151.36,0.85,150.47,0.85,149.41,
8192B_1W_32B_32768B_2W_32B,1.23,129.30,1.19,132.49,1.15,132.13,1.12,131.37,1.09,132.90,1.06,136.16,1.04,139.86,
8192B_1W_32B_32768B_1W_32B,1.73,114.02,1.66,117.36,1.59,118.15,1.52,117.67,1.46,119.63,1.40,124.91,1.34,131.58,
