32768B_2W_64B_16384B_1W_64B,4.01,120.29,3.60,126.86,3.38,131.98,3.25,133.95,3.24,135.48,3.20,136.44,3.17,137.16,
32768B_2W_64B_16384B_2W_64B,2.92,141.73,2.67,146.61,2.56,149.70,2.54,151.42,2.57,152.93,2.63,155.20,2.71,158.42,
32768B_2W_64B_8192B_1W_64B,6.52,118.49,6.00,124.77,5.70,129.40,5.55,131.77,5.47,130.61,5.46,132.95,5.46,134.35,
32768B_4W_64B_8192B_1W_64B,6.91,119.40,6.35,126.32,5.92,131.28,5.65,133.54,5.51,133.43,5.44,131.27,5.41,131.54,
8192B_1W_64B_8192B_1W_64B,6.52,118.49,6.03,122.47,5.61,128.60,5.51,131.65,5.44,132.83,5.41,132.53,5.42,132.33,
32768B_4W_64B_16384B_2W_64B,3.20,137.28,2.85,143.47,2.67,147.78,2.64,150.08,2.63,151.74,2.69,153.51,2.78,156.00,
16384B_1W_64B_8192B_1W_64B,6.42,117.33,5.96,123.85,5.61,128.60,5.50,131.83,5.44,132.57,5.43,132.36,5.44,132.75,
16384B_1W_64B_16384B_2W_64B,2.79,144.77,2.65,149.46,2.51,152.58,2.48,153.68,2.49,153.70,2.54,154.01,2.53,154.07,
16384B_1W_64B_16384B_1W_64B,4.04,119.56,3.43,130.94,3.36,131.42,3.23,134.23,3.24,135.48,3.17,134.88,3.18,135.50,
32768B_1W_64B_16384B_2W_64B,2.82,146.19,2.65,149.46,2.54,152.18,2.53,152.95,2.56,153.71,2.61,155.42,2.69,158.24,
16384B_1W_64B_32768B_1W_64B,3.43,125.80,3.11,134.25,2.99,137.57,2.95,139.80,2.91,140.16,2.89,140.57,2.88,140.74,
8192B_1W_64B_32768B_4W_64B,2.35,183.70,2.34,182.45,2.35,180.81,2.38,179.87,2.42,180.22,2.46,181.72,2.50,183.92,
8192B_1W_64B_32768B_2W_64B,2.62,148.68,2.47,153.50,2.41,156.21,2.39,156.67,2.40,155.84,2.42,155.16,2.36,158.86,
8192B_1W_64B_32768B_1W_64B,3.47,124.15,3.18,131.38,3.02,136.89,2.93,139.87,2.89,140.51,2.87,140.07,2.86,140.11,
8192B_1W_64B_16384B_1W_64B,4.28,115.88,3.67,124.92,3.38,130.63,3.23,134.12,3.16,135.23,3.14,134.99,3.15,134.99,
8192B_1W_64B_16384B_2W_64B,2.96,143.21,2.65,149.46,2.50,152.62,2.45,154.18,2.46,154.13,2.53,154.24,2.53,154.07,
32768B_1W_64B_32768B_4W_64B,2.36,179.83,2.37,178.33,2.48,178.78,2.43,179.09,2.46,181.54,2.50,184.66,2.54,188.01,
32768B_1W_64B_32768B_2W_64B,2.52,152.39,2.47,154.56,2.54,151.79,2.45,155.30,2.45,155.48,2.47,156.91,2.50,159.38,
32768B_1W_64B_32768B_1W_64B,3.36,128.90,3.15,134.69,2.99,137.57,2.98,139.57,2.95,139.99,2.93,140.87,2.92,142.91,
32768B_4W_64B_32768B_4W_64B,2.48,178.83,2.47,179.13,2.47,180.54,2.50,183.28,2.53,187.24,2.56,191.75,2.60,196.14,
32768B_4W_64B_32768B_1W_64B,3.53,125.12,3.11,134.25,2.99,137.57,2.95,138.77,2.92,139.47,2.89,140.57,2.79,141.06,
32768B_4W_64B_32768B_2W_64B,2.77,142.71,2.57,148.72,2.54,151.79,2.45,155.30,2.46,156.23,2.48,158.00,2.50,160.36,
16384B_2W_64B_32768B_4W_64B,2.40,180.79,2.38,179.87,2.39,178.93,2.42,179.03,2.46,180.57,2.49,183.27,2.53,186.60,
16384B_2W_64B_16384B_2W_64B,3.03,138.97,2.71,144.82,2.55,148.97,2.64,150.08,2.55,153.40,2.53,154.24,2.63,155.29,
16384B_2W_64B_16384B_1W_64B,4.20,116.21,3.71,123.47,3.40,129.37,3.23,133.05,3.16,134.52,3.14,134.89,3.16,135.63,
