32768B_2W_64B_16384B_1W_64B,37.26,118.22,33.93,126.05,30.70,132.21,29.79,134.66,28.52,138.26,28.18,139.28,28.13,139.55,
32768B_2W_64B_16384B_2W_64B,24.83,146.04,23.68,150.60,24.32,148.03,23.41,151.74,22.12,156.52,21.79,159.01,20.94,159.22,
32768B_2W_64B_8192B_1W_64B,54.68,117.06,50.54,121.09,48.13,125.82,47.22,127.25,45.95,129.30,45.61,129.87,44.02,130.63,
32768B_4W_64B_8192B_1W_64B,53.57,116.70,49.79,123.39,47.75,126.20,47.00,128.72,46.62,129.99,45.61,129.87,45.55,130.12,
8192B_1W_64B_8192B_1W_64B,54.68,117.06,50.60,122.82,48.13,125.82,47.22,127.25,49.01,129.27,45.61,129.87,44.60,130.71,
32768B_4W_64B_16384B_2W_64B,24.83,146.04,24.84,148.49,23.71,151.53,23.41,151.74,22.48,156.62,21.41,158.33,22.32,159.60,
16384B_1W_64B_8192B_1W_64B,54.68,117.06,50.64,122.23,48.13,125.82,47.22,127.25,48.36,129.37,45.61,129.87,45.55,130.12,
16384B_1W_64B_16384B_2W_64B,24.83,146.04,23.68,150.60,22.61,151.96,23.41,151.74,21.87,158.63,21.79,159.01,21.70,159.50,
16384B_1W_64B_16384B_1W_64B,35.69,121.08,32.37,128.13,30.77,132.04,29.61,135.43,28.52,138.26,28.18,139.28,28.06,139.58,
32768B_1W_64B_16384B_2W_64B,24.83,146.04,23.68,150.60,24.32,148.03,22.16,154.64,21.87,158.63,21.49,158.15,20.71,159.29,
16384B_1W_64B_32768B_1W_64B,30.24,127.39,27.41,131.22,25.52,137.05,24.01,139.77,23.56,143.98,23.23,145.30,23.99,147.22,
8192B_1W_64B_32768B_4W_64B,21.49,183.09,22.92,182.63,21.87,184.29,21.07,187.90,20.90,192.21,20.16,196.06,19.25,198.19,
8192B_1W_64B_32768B_2W_64B,21.59,154.94,21.99,156.17,21.43,155.68,19.48,161.39,19.72,164.35,20.12,166.94,19.28,167.10,
8192B_1W_64B_32768B_1W_64B,30.31,128.13,27.41,131.22,25.43,136.42,24.83,139.38,23.56,143.98,23.85,145.88,24.60,147.64,
8192B_1W_64B_16384B_1W_64B,37.26,118.22,32.23,127.72,30.70,132.21,29.79,134.66,28.64,137.41,28.18,139.28,28.97,139.70,
8192B_1W_64B_16384B_2W_64B,25.05,145.16,23.68,150.60,22.63,152.03,22.77,154.62,22.47,156.55,21.79,159.01,21.70,159.50,
32768B_1W_64B_32768B_4W_64B,20.77,186.55,22.04,184.63,21.31,184.16,21.28,187.48,20.94,191.38,20.59,195.34,18.58,198.48,
32768B_1W_64B_32768B_2W_64B,21.59,154.94,20.93,158.16,21.43,155.68,21.00,157.84,19.37,166.59,20.09,165.85,19.28,167.10,
32768B_1W_64B_32768B_1W_64B,32.30,119.33,28.60,129.92,25.52,137.05,24.83,139.38,23.89,142.10,23.86,144.68,23.17,145.59,
32768B_4W_64B_32768B_4W_64B,21.49,183.09,21.24,184.98,21.31,184.16,21.04,188.59,19.31,197.70,19.24,197.42,16.39,200.87,
32768B_4W_64B_32768B_1W_64B,32.30,119.33,27.41,131.22,25.52,137.05,24.83,139.38,23.56,143.98,23.23,145.30,23.17,145.59,
32768B_4W_64B_32768B_2W_64B,20.71,155.40,20.93,158.16,21.43,155.68,21.00,157.84,20.04,162.69,19.37,166.55,19.28,167.10,
16384B_2W_64B_32768B_4W_64B,21.49,183.09,22.12,183.57,21.31,184.16,20.76,188.26,20.56,192.60,19.61,196.60,19.25,198.19,
16384B_2W_64B_16384B_2W_64B,24.83,146.04,23.86,148.52,23.04,151.71,23.41,151.74,21.87,158.63,21.79,159.01,21.70,159.50,
16384B_2W_64B_16384B_1W_64B,35.47,121.72,32.37,128.13,30.70,132.21,29.80,135.34,28.78,137.32,28.18,139.28,28.13,139.55,
32768B_1W_64B_8192B_1W_64B,55.42,114.56,51.10,120.87,48.13,125.82,47.22,127.25,45.95,129.30,46.46,130.06,45.55,130.12,
16384B_1W_64B_32768B_2W_64B,22.99,154.22,20.93,158.16,21.43,155.68,19.65,161.05,19.37,166.59,20.02,166.57,19.28,167.10,
16384B_1W_64B_32768B_4W_64B,22.52,184.46,20.85,187.04,21.31,184.16,21.15,187.71,20.92,191.92,20.26,195.82,18.33,198.75,
16384B_2W_64B_32768B_1W_64B,32.30,119.33,27.41,131.22,25.40,135.97,23.68,139.78,23.32,143.00,23.23,145.30,24.01,147.32,
16384B_2W_64B_32768B_2W_64B,22.20,154.65,20.93,158.16,21.43,155.68,19.34,160.68,19.37,166.59,19.71,166.29,19.32,168.40,
32768B_1W_64B_16384B_1W_64B,37.26,118.22,34.35,125.59,30.70,132.21,29.79,134.66,28.52,138.26,28.18,139.28,28.13,139.55,
32768B_4W_64B_16384B_1W_64B,36.11,122.28,33.88,127.48,30.70,132.21,29.79,134.66,28.52,138.26,28.18,139.28,28.60,140.50,
16384B_2W_64B_8192B_1W_64B,54.68,117.06,50.61,122.28,48.88,126.13,48.68,128.25,48.57,129.22,46.92,129.84,45.55,130.12,
32768B_2W_64B_32768B_4W_64B,21.49,183.09,21.30,184.92,21.31,184.16,20.93,186.54,20.53,191.99,19.33,197.55,17.51,199.29,
32768B_2W_64B_32768B_2W_64B,21.59,154.94,20.97,155.76,21.43,155.68,19.47,160.10,19.49,162.92,19.37,166.55,18.63,167.74,
