weixun,([3]qsort vpr 2627595),([1]parser toast 1722615),([1]untoast swim 1272709),([3]dijkstra sha 2396159),800,2302,1893,
vul-aware,([2]qsort vpr 2334541),([2]parser toast 1941336),([1]untoast swim 1272709),([3]dijkstra sha 2396159),800,2302,1903,
weixun,([1]mcf sha 3046672),([1]gcc bitcount 4473362),([1]patricia lucas 2508803),([5]basicmath swim 8997733),3500,8325,6664,
vul-aware,([2]mcf sha 3939845),([2]gcc bitcount 5089554),([2]patricia lucas 2974139),([2]basicmath swim 4290328),3500,9268,7473,
weixun,([1]applu lucas 1420522),([1]dijkstra swim 2186415),([1]ammp FFT 1985512),([5]basicmath stringsearch 5684930),2000,4645,3575,
vul-aware,([1]applu lucas 1419839),([3]dijkstra swim 3931327),([2]ammp FFT 2782407),([2]basicmath stringsearch 2607039),2000,5061,3939,
weixun,([1]mgrid FFT 2118737),([5]dijkstra parser 5523987),([1]CRC32 swim 1754548),([1]applu bitcount 1710127),1800,3451,2797,
vul-aware,([2]mgrid FFT 3548348),([2]dijkstra parser 3219965),([2]CRC32 swim 2801062),([2]applu bitcount 1811433),1800,3815,3161,
weixun,([1]mcf toast sha 3525945),([1]gcc parser stringsearch 5391377),([1]patricia qsort vpr 4187789),([5]basicmath CRC32 ammp 10477763),4000,10193,8335,
vul-aware,([2]mcf toast sha 4268760),([2]gcc parser stringsearch 6232274),([2]patricia qsort vpr 5284163),([2]basicmath CRC32 ammp 5298045),4000,10851,8791,
weixun,([4]mgrid parser gcc 12681098),([1]toast FFT mcf 4331606),([1]bitcount ammp applu 2514265),([2]qsort dijkstra patricia 5768368),5000,11015,9032,
vul-aware,([2]mgrid parser gcc 8136367),([1]toast FFT mcf 4320072),([3]bitcount ammp applu 4044159),([2]qsort dijkstra patricia 5768368),5000,11350,9143,
weixun,([4]vpr sha FFT 4711979),([1]CRC32 lucas untoast 802409),([1]mgrid bitcount qsort 2426296),([2]applu parser stringsearch 3064352),1800,3630,2697,
vul-aware,([2]vpr sha FFT 3193740),([2]CRC32 lucas untoast 1533328),([2]mgrid bitcount qsort 3458163),([2]applu parser stringsearch 3033833),1800,2147483647,2969,
weixun,([1]sha mcf untoast toast 3697301),([1]applu gcc bitcount ammp 6331235),([1]lucas FFT CRC32 patricia 4075514),([5]vpr basicmath mgrid swim 13653207),6000,11669,9369,
vul-aware,([2]sha mcf untoast toast 4450781),([2]applu gcc bitcount ammp 8089165),([2]lucas FFT CRC32 patricia 6030402),([2]vpr basicmath mgrid swim 7291614),6000,12935,10300,
weixun,([5]gcc stringsearch parser dijkstra 14061238),([1]untoast mcf ammp bitcount 4217370),([1]lucas patricia qsort vpr 4208287),([1]basicmath toast applu CRC32 4469120),5500,11889,9614,
vul-aware,([2]gcc stringsearch parser dijkstra 7979691),([2]untoast mcf ammp bitcount 5373765),([2]lucas patricia qsort vpr 5308680),([2]basicmath toast applu CRC32 5879873),5500,12702,10184,
