Deadline (ms),Energy Consumption (mJ)
4600,2753
4590,2753
4580,2753
4570,2753
4560,2753
4550,2753
4540,2753
4530,2753
4520,2753
4510,2753
4500,2753
4490,2753
4480,2753
4470,2753
4460,2753
4450,2753
4440,2753
4430,2753
4420,2753
4410,2753
4400,2753
4390,2753
4380,2753
4370,2753
4360,2753
4350,2753
4340,2753
4330,2753
4320,2753
4310,2753
4300,2753
4290,2784
4280,2784
4270,2784
4260,2784
4250,2784
4240,2784
4230,2784
4220,2784
4210,2784
4200,2784
4190,2784
4180,2784
4170,2784
4160,2784
4150,2784
4140,2784
4130,2784
4120,2784
4110,2784
4100,2784
4090,2784
4080,2784
4070,2784
4060,2784
4050,2784
4040,2784
4030,2784
4020,2784
4010,2784
4000,2784
3990,2784
3980,2784
3970,2784
3960,2784
3950,2784
3940,2784
3930,2791
3920,2791
3910,2791
3900,2791
3890,2791
3880,2791
3870,2791
3860,2795
3850,2795
3840,2795
3830,2795
3820,2795
3810,2802
3800,2836
3790,2845
3780,2845
3770,2845
3760,2845
3750,2883
3740,2883
3730,2883
3720,2883
3710,2883
3700,3002
3690,3002
3680,
3670,
3660,
3650,
3640,
3630,
3620,
3610,
