32768B_2W_64B_16384B_1W_64B,37.25,4962.19,36.15,4922.19,35.16,4884.47,34.26,4848.36,33.45,4813.21,32.73,4778.35,32.07,4743.24,
32768B_2W_64B_16384B_2W_64B,33.91,4816.54,33.14,4793.42,32.44,4771.86,31.82,4751.15,31.26,4730.58,30.76,4709.47,30.31,4687.22,
32768B_2W_64B_8192B_1W_64B,40.12,5170.93,38.77,5107.03,37.53,5047.93,36.41,4993.53,35.39,4943.60,34.47,4897.80,33.64,4855.67,
32768B_4W_64B_8192B_1W_64B,33.01,4786.05,32.33,4759.73,31.72,4737.13,31.17,4718.05,30.68,4702.19,30.24,4689.15,29.85,4678.41,
8192B_1W_64B_8192B_1W_64B,62.08,7244.74,56.40,6946.79,55.71,6913.61,53.75,6806.90,50.80,6645.66,50.82,6655.39,50.04,6606.28,
32768B_4W_64B_16384B_2W_64B,29.97,4755.51,29.61,4759.41,29.29,4763.74,29.00,4767.72,28.74,4770.58,28.52,4771.58,28.31,4770.03,
16384B_1W_64B_8192B_1W_64B,55.63,6556.32,53.18,6437.71,50.88,6319.58,48.71,6202.38,46.69,6086.57,44.81,5972.65,43.07,5861.12,
16384B_1W_64B_16384B_2W_64B,43.64,5541.67,41.99,5451.52,40.48,5365.05,39.09,5282.60,37.83,5204.48,36.68,5130.97,35.63,5062.25,
16384B_1W_64B_16384B_1W_64B,51.87,6068.27,46.19,5770.52,45.50,5737.55,43.53,5628.86,40.59,5469.50,40.60,5474.10,39.82,5428.26,
32768B_1W_64B_16384B_2W_64B,37.25,4962.19,36.15,4922.19,35.16,4884.47,34.26,4848.36,33.45,4813.21,32.73,4778.35,32.07,4743.24,
16384B_1W_64B_32768B_1W_64B,41.88,5218.02,40.37,5160.54,38.99,5105.84,37.74,5053.32,36.60,5002.36,35.56,4952.38,34.63,4902.86,
8192B_1W_64B_32768B_4W_64B,33.01,4786.05,32.33,4759.73,31.72,4737.13,31.17,4718.05,30.68,4702.19,30.24,4689.15,29.85,4678.41,
8192B_1W_64B_32768B_2W_64B,40.12,5170.93,38.77,5107.03,37.53,5047.93,36.41,4993.53,35.39,4943.60,34.47,4897.80,33.64,4855.67,
8192B_1W_64B_32768B_1W_64B,45.75,5520.74,43.94,5438.07,42.27,5360.33,40.73,5287.50,39.32,5219.44,38.04,5155.89,36.87,5096.44,
8192B_1W_64B_16384B_1W_64B,55.63,6556.32,53.18,6437.71,50.88,6319.58,48.71,6202.38,46.69,6086.57,44.81,5972.65,43.07,5861.12,
8192B_1W_64B_16384B_2W_64B,47.85,6035.35,45.88,5930.01,44.06,5826.26,42.38,5724.44,40.83,5624.90,39.42,5527.99,38.12,5434.08,
32768B_1W_64B_32768B_4W_64B,29.59,4728.55,29.27,4693.11,28.98,4654.48,28.73,4613.02,28.50,4569.12,28.30,4523.20,28.12,4475.69,
32768B_1W_64B_32768B_2W_64B,33.09,4679.02,32.40,4629.25,31.78,4578.23,31.22,4526.26,30.73,4473.64,30.28,4420.71,29.89,4367.77,
32768B_1W_64B_32768B_1W_64B,43.23,5081.69,37.55,4783.49,33.33,4557.21,34.89,4641.42,31.94,4481.50,31.96,4484.95,31.17,4439.85,
32768B_4W_64B_32768B_4W_64B,27.42,5068.04,26.67,5028.36,27.52,5073.86,26.20,5002.63,26.12,4998.58,25.52,4966.45,25.62,4971.30,
32768B_4W_64B_32768B_1W_64B,29.59,4728.55,29.27,4693.11,28.98,4654.48,28.73,4613.02,28.50,4569.12,28.30,4523.20,28.12,4475.69,
32768B_4W_64B_32768B_2W_64B,28.63,4828.75,28.41,4799.09,28.22,4765.35,28.05,4727.90,27.90,4687.14,27.77,4643.51,27.65,4597.48,
16384B_2W_64B_32768B_4W_64B,29.97,4755.51,29.61,4759.41,29.29,4763.74,29.00,4767.72,28.74,4770.58,28.52,4771.58,28.31,4770.03,
16384B_2W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
16384B_2W_64B_16384B_1W_64B,43.64,5541.67,41.99,5451.52,40.48,5365.05,39.09,5282.60,37.83,5204.48,36.68,5130.97,35.63,5062.25,
32768B_1W_64B_8192B_1W_64B,45.75,5520.74,43.94,5438.07,42.27,5360.33,40.73,5287.50,39.32,5219.44,38.04,5155.89,36.87,5096.44,
16384B_1W_64B_32768B_2W_64B,37.25,4962.19,36.15,4922.19,35.16,4884.47,34.26,4848.36,33.45,4813.21,32.73,4778.35,32.07,4743.24,
16384B_1W_64B_32768B_4W_64B,31.58,4756.96,31.04,4748.55,30.57,4741.04,30.14,4733.67,29.76,4725.72,29.42,4716.46,29.12,4705.26,
16384B_2W_64B_32768B_1W_64B,37.25,4962.19,36.15,4922.19,35.16,4884.47,34.26,4848.36,33.45,4813.21,32.73,4778.35,32.07,4743.24,
16384B_2W_64B_32768B_2W_64B,33.91,4816.54,33.14,4793.42,32.44,4771.86,31.82,4751.15,31.26,4730.58,30.76,4709.47,30.31,4687.22,
32768B_1W_64B_16384B_1W_64B,41.88,5218.02,40.37,5160.54,38.99,5105.84,37.74,5053.32,36.60,5002.36,35.56,4952.38,34.63,4902.86,
