32768B_2W_64B_16384B_1W_64B,218.07,23525.90,211.20,23078.28,203.64,22637.12,196.43,22250.64,190.36,21946.67,185.46,21729.12,181.48,21586.45,
32768B_2W_64B_16384B_2W_64B,210.71,23701.30,204.66,23328.65,197.80,22946.44,191.10,22602.95,185.48,22328.60,181.08,22130.05,177.65,21997.69,
32768B_2W_64B_8192B_1W_64B,221.48,24089.59,214.80,23586.20,207.43,23102.52,200.40,22683.67,194.35,22351.61,189.25,22105.95,184.92,21933.83,
32768B_4W_64B_8192B_1W_64B,209.51,24873.08,204.18,24501.74,197.86,24115.92,191.48,23763.04,186.00,23471.40,181.63,23246.61,178.17,23079.82,
8192B_1W_64B_8192B_1W_64B,291.65,31585.69,276.94,30795.73,271.66,30518.28,259.37,29861.27,257.50,29767.00,248.89,29334.18,247.77,29246.77,
32768B_4W_64B_16384B_2W_64B,202.81,25056.27,197.80,24810.16,191.90,24521.71,185.78,24237.30,180.52,23990.92,176.57,23794.09,173.70,23640.75,
16384B_1W_64B_8192B_1W_64B,250.85,29745.30,243.36,29148.35,235.63,28610.00,228.48,28159.66,222.02,27802.11,216.02,27526.36,210.31,27316.02,
16384B_1W_64B_16384B_2W_64B,226.61,26441.81,220.09,25882.43,212.96,25357.47,206.20,24907.58,200.28,24548.60,195.08,24276.11,190.44,24075.98,
16384B_1W_64B_16384B_1W_64B,244.49,26791.21,229.78,26001.90,224.50,25723.21,212.21,25064.12,210.34,24969.46,201.72,24519.07,200.60,24447.12,
32768B_1W_64B_16384B_2W_64B,218.07,23525.90,211.20,23078.28,203.64,22637.12,196.43,22250.64,190.36,21946.67,185.46,21729.12,181.48,21586.45,
16384B_1W_64B_32768B_1W_64B,228.62,23755.45,220.90,23246.16,212.58,22757.71,204.75,22336.77,198.05,22007.59,192.41,21770.67,187.64,21612.32,
8192B_1W_64B_32768B_4W_64B,209.51,24873.08,204.18,24501.74,197.86,24115.92,191.48,23763.04,186.00,23471.40,181.63,23246.61,178.17,23079.82,
8192B_1W_64B_32768B_2W_64B,221.48,24089.59,214.80,23586.20,207.43,23102.52,200.40,22683.67,194.35,22351.61,189.25,22105.95,184.92,21933.83,
8192B_1W_64B_32768B_1W_64B,231.95,24310.32,224.47,23761.82,216.43,23246.45,208.86,22806.15,202.23,22458.49,196.45,22199.56,191.37,22014.53,
8192B_1W_64B_16384B_1W_64B,250.85,29745.30,243.36,29148.35,235.63,28610.00,228.48,28159.66,222.02,27802.11,216.02,27526.36,210.31,27316.02,
8192B_1W_64B_16384B_2W_64B,238.99,29242.82,232.35,28658.77,225.24,28125.17,218.59,27676.55,212.67,27322.17,207.29,27053.70,202.26,26855.74,
32768B_1W_64B_32768B_4W_64B,199.08,25190.45,193.91,24958.80,188.15,24682.71,182.34,24408.77,177.48,24178.36,173.99,24011.05,171.61,23903.54,
