32768B_2W_64B_16384B_1W_64B,80.95,10761.62,80.73,10728.48,80.53,10714.20,80.36,10713.35,80.21,10708.13,80.07,10698.75,79.96,10692.27,
32768B_2W_64B_16384B_2W_64B,80.20,11413.81,80.07,11419.62,79.95,11423.03,79.86,11429.11,79.77,11430.53,79.70,11427.45,79.64,11425.37,
32768B_2W_64B_8192B_1W_64B,81.40,10768.75,81.14,10732.67,80.90,10720.18,80.69,10720.81,80.49,10714.32,80.32,10705.73,80.18,10706.50,
32768B_4W_64B_8192B_1W_64B,79.93,12071.24,79.83,12102.04,79.75,12126.45,79.69,12147.30,79.63,12160.84,79.58,12170.82,79.54,12184.97,
8192B_1W_64B_8192B_1W_64B,84.95,10352.01,83.30,10259.23,83.27,10258.03,83.29,10258.00,83.29,10259.66,83.21,10253.97,83.21,10254.80,
32768B_4W_64B_16384B_2W_64B,79.54,12879.49,79.51,12923.40,79.48,12953.95,79.46,12984.24,79.43,13012.74,79.42,13035.16,79.40,13055.74,
16384B_1W_64B_8192B_1W_64B,83.82,10329.95,83.50,10255.59,83.17,10243.69,82.84,10257.06,82.51,10251.57,82.18,10239.99,81.87,10251.07,
16384B_1W_64B_16384B_2W_64B,81.92,10778.16,81.62,10735.33,81.34,10721.96,81.09,10722.90,80.85,10714.33,80.64,10705.29,80.46,10712.14,
16384B_1W_64B_16384B_1W_64B,84.05,10312.93,82.40,10219.25,82.37,10218.00,82.40,10220.07,82.39,10219.66,82.31,10214.67,82.31,10214.67,
32768B_1W_64B_16384B_2W_64B,80.95,10761.62,80.73,10728.48,80.53,10714.20,80.36,10713.35,80.21,10708.13,80.07,10698.75,79.96,10692.27,
16384B_1W_64B_32768B_1W_64B,82.07,10224.85,81.77,10162.17,81.48,10145.67,81.21,10151.24,80.96,10147.62,80.74,10136.35,80.54,10128.26,
8192B_1W_64B_32768B_4W_64B,79.93,12071.24,79.83,12102.04,79.75,12126.45,79.69,12147.30,79.63,12160.84,79.58,12170.82,79.54,12184.97,
8192B_1W_64B_32768B_2W_64B,81.40,10768.75,81.14,10732.67,80.90,10720.18,80.69,10720.81,80.49,10714.32,80.32,10705.73,80.18,10706.50,
8192B_1W_64B_32768B_1W_64B,82.65,10249.64,82.32,10186.22,82.01,10173.34,81.70,10182.13,81.42,10178.16,81.15,10167.69,80.91,10166.94,
8192B_1W_64B_16384B_1W_64B,83.82,10329.95,83.50,10255.59,83.17,10243.69,82.84,10257.06,82.51,10251.57,82.18,10239.99,81.87,10251.07,
8192B_1W_64B_16384B_2W_64B,82.49,10771.23,82.17,10718.71,81.86,10702.24,81.56,10702.30,81.29,10690.40,81.03,10678.76,80.81,10689.35,
32768B_1W_64B_32768B_4W_64B,79.56,12249.80,79.53,12277.41,79.49,12288.87,79.47,12306.03,79.44,12323.97,79.43,12329.87,79.41,12323.30,
32768B_1W_64B_32768B_2W_64B,80.27,10821.27,80.13,10784.15,80.01,10760.42,79.90,10755.95,79.81,10754.33,79.73,10744.47,79.67,10725.76,
32768B_1W_64B_32768B_1W_64B,81.78,10269.11,80.13,10175.71,80.05,10171.15,80.13,10176.51,80.12,10175.24,80.04,10170.68,80.04,10170.68,
