32768B_2W_64B_16384B_1W_64B,51.87,6068.27,46.19,5770.52,45.50,5737.55,43.53,5628.86,40.59,5469.50,40.60,5474.10,39.82,5428.26,
32768B_2W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
32768B_2W_64B_8192B_1W_64B,62.08,7244.74,56.40,6946.79,55.71,6913.61,53.75,6806.90,50.80,6645.66,50.82,6655.39,50.04,6606.28,
32768B_4W_64B_8192B_1W_64B,62.08,7244.74,56.40,6946.79,55.71,6913.61,53.75,6806.90,50.80,6645.66,50.82,6655.39,50.04,6606.28,
8192B_1W_64B_8192B_1W_64B,62.08,7244.74,56.40,6946.79,55.71,6913.61,53.75,6806.90,50.80,6645.66,50.82,6655.39,50.04,6606.28,
32768B_4W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
16384B_1W_64B_8192B_1W_64B,62.08,7244.74,56.40,6946.79,55.71,6913.61,53.75,6806.90,50.80,6645.66,50.82,6655.39,50.04,6606.28,
16384B_1W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
16384B_1W_64B_16384B_1W_64B,51.87,6068.27,46.19,5770.52,45.50,5737.55,43.53,5628.86,40.59,5469.50,40.60,5474.10,39.82,5428.26,
32768B_1W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
16384B_1W_64B_32768B_1W_64B,43.23,5081.69,37.55,4783.49,33.33,4557.21,34.89,4641.42,31.94,4481.50,31.96,4484.95,31.17,4439.85,
8192B_1W_64B_32768B_4W_64B,27.42,5068.04,26.67,5028.36,27.52,5073.86,26.20,5002.63,26.12,4998.58,25.52,4966.45,25.62,4971.30,
8192B_1W_64B_32768B_2W_64B,31.52,4617.68,30.39,4556.68,31.75,4632.32,29.39,4502.84,28.37,4446.15,27.44,4396.44,27.64,4406.37,
8192B_1W_64B_32768B_1W_64B,43.23,5081.69,37.55,4783.49,33.33,4557.21,34.89,4641.42,31.94,4481.50,31.96,4484.95,31.17,4439.85,
8192B_1W_64B_16384B_1W_64B,51.87,6068.27,46.19,5770.52,45.50,5737.55,43.53,5628.86,40.59,5469.50,40.60,5474.10,39.82,5428.26,
8192B_1W_64B_16384B_2W_64B,38.31,5204.80,36.09,5086.16,36.88,5132.22,34.61,5007.72,32.98,4918.31,32.22,4879.72,32.22,4877.14,
