32768B_2W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_2W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
32768B_2W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
32768B_4W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
8192B_1W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
32768B_4W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
16384B_1W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
16384B_1W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
16384B_1W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_1W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
16384B_1W_64B_32768B_1W_64B,3.97,465.56,3.11,417.52,2.99,411.33,2.95,409.37,2.92,407.25,2.89,406.25,2.86,404.52,
8192B_1W_64B_32768B_4W_64B,2.48,443.50,2.43,440.56,2.48,443.37,2.42,439.86,2.35,436.35,2.33,434.59,2.34,435.12,
8192B_1W_64B_32768B_2W_64B,2.52,384.02,2.47,381.76,2.54,385.55,2.45,380.49,2.38,376.92,2.36,375.71,2.36,374.91,
8192B_1W_64B_32768B_1W_64B,3.97,465.56,3.11,417.52,2.99,411.33,2.95,409.37,2.92,407.25,2.89,406.25,2.86,404.52,
8192B_1W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
8192B_1W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
32768B_1W_64B_32768B_4W_64B,2.48,443.50,2.43,440.56,2.48,443.37,2.42,439.86,2.35,436.35,2.33,434.59,2.34,435.12,
32768B_1W_64B_32768B_2W_64B,2.52,384.02,2.47,381.76,2.54,385.55,2.45,380.49,2.38,376.92,2.36,375.71,2.36,374.91,
32768B_1W_64B_32768B_1W_64B,3.97,465.56,3.11,417.52,2.99,411.33,2.95,409.37,2.92,407.25,2.89,406.25,2.86,404.52,
32768B_4W_64B_32768B_4W_64B,2.48,443.50,2.43,440.56,2.48,443.37,2.42,439.86,2.35,436.35,2.33,434.59,2.34,435.12,
32768B_4W_64B_32768B_1W_64B,3.97,465.56,3.11,417.52,2.99,411.33,2.95,409.37,2.92,407.25,2.89,406.25,2.86,404.52,
32768B_4W_64B_32768B_2W_64B,2.52,384.02,2.47,381.76,2.54,385.55,2.45,380.49,2.38,376.92,2.36,375.71,2.36,374.91,
16384B_2W_64B_32768B_4W_64B,2.48,443.50,2.43,440.56,2.48,443.37,2.42,439.86,2.35,436.35,2.33,434.59,2.34,435.12,
16384B_2W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.74,400.94,2.64,396.21,2.55,391.17,2.53,390.23,2.53,389.80,
16384B_2W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_1W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
16384B_1W_64B_32768B_2W_64B,2.52,384.02,2.47,381.76,2.54,385.55,2.45,380.49,2.38,376.92,2.36,375.71,2.36,374.91,
16384B_1W_64B_32768B_4W_64B,2.48,443.50,2.43,440.56,2.48,443.37,2.42,439.86,2.35,436.35,2.33,434.59,2.34,435.12,
16384B_2W_64B_32768B_1W_64B,3.97,465.56,3.11,417.52,2.99,411.33,2.95,409.37,2.92,407.25,2.89,406.25,2.86,404.52,
16384B_2W_64B_32768B_2W_64B,2.52,384.02,2.47,381.76,2.54,385.55,2.45,380.49,2.38,376.92,2.36,375.71,2.36,374.91,
32768B_1W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_4W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
16384B_2W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
