32768B_2W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
32768B_2W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
32768B_2W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
32768B_4W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
8192B_1W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
32768B_4W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
16384B_1W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
16384B_1W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
16384B_1W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
32768B_1W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
16384B_1W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
8192B_1W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
8192B_1W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
8192B_1W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
8192B_1W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
8192B_1W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
32768B_1W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
32768B_1W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
32768B_1W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
32768B_4W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
32768B_4W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
32768B_4W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
16384B_2W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
16384B_2W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.88,149.56,0.87,149.41,0.87,149.51,0.87,149.81,0.86,148.19,
16384B_2W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
32768B_1W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
16384B_1W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
16384B_1W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
16384B_2W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
16384B_2W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
32768B_1W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
32768B_4W_64B_16384B_1W_64B,1.40,187.89,1.24,178.62,1.21,177.34,1.19,175.91,1.19,176.38,1.18,175.36,1.18,175.45,
16384B_2W_64B_8192B_1W_64B,1.63,211.90,1.48,204.02,1.44,201.31,1.43,201.33,1.42,200.43,1.42,200.77,1.42,200.87,
32768B_2W_64B_32768B_4W_64B,0.78,163.15,0.78,163.18,0.78,163.10,0.78,163.18,0.78,163.18,0.78,163.18,0.78,163.18,
32768B_2W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,143.20,0.79,141.72,0.79,141.84,
32768B_2W_64B_32768B_1W_64B,1.09,152.24,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.88,141.20,
32768B_2W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
32768B_2W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
32768B_2W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
32768B_4W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
8192B_1W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
32768B_4W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
16384B_1W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
16384B_1W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
16384B_1W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
32768B_1W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
16384B_1W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
8192B_1W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
8192B_1W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
8192B_1W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
8192B_1W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
8192B_1W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
32768B_1W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
32768B_1W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
32768B_1W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
32768B_4W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
32768B_4W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
32768B_4W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
16384B_2W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
16384B_2W_32B_16384B_2W_32B,1.01,140.54,0.97,138.82,0.97,139.08,0.96,137.86,0.96,137.89,0.95,137.29,0.95,137.47,
16384B_2W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
32768B_1W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
16384B_1W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
16384B_1W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
16384B_2W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
16384B_2W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
32768B_1W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
32768B_4W_32B_16384B_1W_32B,1.90,209.95,1.79,203.52,1.80,204.61,1.78,203.53,1.77,202.65,1.51,188.51,1.41,183.43,
16384B_2W_32B_8192B_1W_32B,2.48,254.10,2.38,248.78,2.08,232.88,2.36,247.59,2.36,247.85,1.76,215.78,1.65,209.52,
32768B_2W_32B_32768B_4W_32B,0.87,135.86,0.87,135.88,0.87,135.86,0.87,135.88,0.87,135.88,0.87,135.86,0.87,135.88,
32768B_2W_32B_32768B_2W_32B,0.90,132.66,0.90,132.70,0.90,132.38,0.89,131.52,0.89,131.53,0.89,131.86,0.89,131.97,
32768B_2W_32B_32768B_1W_32B,1.27,157.96,1.17,152.71,1.16,152.48,1.15,151.59,1.15,151.73,1.16,152.52,1.06,147.33,
