32768B_2W_64B_16384B_1W_64B,4.01,478.21,3.60,454.51,3.38,446.09,3.25,441.09,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_2W_64B_16384B_2W_64B,2.92,408.88,2.67,399.24,2.56,398.96,2.54,400.28,2.57,399.65,2.63,397.92,2.71,396.93,
32768B_2W_64B_8192B_1W_64B,6.52,772.55,6.00,745.43,5.70,730.54,5.55,722.41,5.47,714.44,5.46,704.29,5.46,692.56,
32768B_4W_64B_8192B_1W_64B,6.91,780.34,6.35,756.32,5.92,740.33,5.65,731.62,5.51,724.32,5.44,714.11,5.41,711.63,
8192B_1W_64B_8192B_1W_64B,6.52,772.55,6.03,743.97,5.61,721.45,5.51,707.61,5.44,700.89,5.41,694.02,5.42,684.56,
32768B_4W_64B_16384B_2W_64B,3.20,412.61,2.85,399.49,2.67,397.03,2.64,396.21,2.63,396.85,2.69,394.58,2.78,392.81,
16384B_1W_64B_8192B_1W_64B,6.42,770.31,5.96,741.48,5.61,721.45,5.50,710.69,5.44,704.18,5.43,696.12,5.44,685.70,
16384B_1W_64B_16384B_2W_64B,2.79,403.91,2.65,396.07,2.51,391.36,2.48,392.96,2.49,393.75,2.54,392.59,2.53,389.80,
16384B_1W_64B_16384B_1W_64B,4.04,485.56,3.43,449.12,3.36,438.19,3.23,432.85,3.24,438.96,3.17,431.44,3.18,428.56,
32768B_1W_64B_16384B_2W_64B,2.82,406.97,2.65,396.07,2.54,399.91,2.53,401.51,2.56,401.05,2.61,399.64,2.69,399.06,
16384B_1W_64B_32768B_1W_64B,3.43,454.20,3.11,417.52,2.99,411.33,2.95,407.96,2.91,410.38,2.89,406.25,2.88,408.89,
8192B_1W_64B_32768B_4W_64B,2.35,434.07,2.34,442.08,2.35,447.05,2.38,446.98,2.42,443.50,2.46,438.54,2.50,433.28,
8192B_1W_64B_32768B_2W_64B,2.62,403.14,2.47,383.89,2.41,380.20,2.39,382.80,2.40,383.91,2.42,381.70,2.36,374.91,
8192B_1W_64B_32768B_1W_64B,3.47,466.50,3.18,430.18,3.02,410.83,2.93,406.64,2.89,408.93,2.87,410.27,2.86,408.99,
8192B_1W_64B_16384B_1W_64B,4.28,495.97,3.67,459.79,3.38,437.90,3.23,429.25,3.16,428.29,3.14,427.87,3.15,425.54,
