32768B_2W_64B_16384B_1W_64B,11.03,1146.42,10.34,1117.68,9.78,1095.65,9.41,1082.26,9.20,1075.07,9.12,1074.01,9.12,1078.27,
32768B_2W_64B_16384B_2W_64B,8.05,946.09,7.49,925.31,7.07,912.08,6.81,905.61,6.67,904.90,6.61,908.91,6.59,916.69,
32768B_2W_64B_8192B_1W_64B,14.96,1594.14,14.27,1551.91,13.62,1516.50,13.09,1488.58,12.73,1468.05,12.52,1454.37,12.42,1446.73,
32768B_4W_64B_8192B_1W_64B,15.03,1556.96,14.35,1523.96,13.71,1498.44,13.21,1480.42,12.87,1469.40,12.68,1465.43,12.65,1464.11,
8192B_1W_64B_8192B_1W_64B,14.16,1649.51,13.48,1600.05,12.87,1552.60,12.41,1509.51,12.14,1472.45,12.04,1442.28,12.05,1419.20,
32768B_4W_64B_16384B_2W_64B,8.07,937.35,7.52,922.97,7.13,917.01,6.87,889.53,6.76,925.66,6.70,937.64,6.69,953.10,
16384B_1W_64B_8192B_1W_64B,14.40,1637.80,13.71,1587.61,13.09,1541.19,12.60,1500.53,12.30,1466.79,12.16,1440.36,12.14,1421.05,
16384B_1W_64B_16384B_2W_64B,8.03,953.21,7.48,923.78,7.08,899.70,6.84,883.81,6.74,874.68,6.71,871.43,6.72,880.32,
16384B_1W_64B_16384B_1W_64B,11.27,1175.85,10.57,1138.32,10.00,1106.09,9.63,1080.16,9.43,1060.87,9.36,1048.00,9.37,1041.04,
32768B_1W_64B_16384B_2W_64B,8.05,948.70,7.48,923.78,7.04,906.50,6.77,895.63,6.62,890.57,6.56,890.43,6.55,894.36,
16384B_1W_64B_32768B_1W_64B,8.41,887.30,7.56,855.13,6.94,828.60,6.52,806.91,6.27,788.87,6.15,773.25,6.11,758.93,
8192B_1W_64B_32768B_4W_64B,5.02,868.11,5.09,857.36,5.16,851.52,5.22,849.85,5.25,851.60,5.24,856.09,5.20,862.77,
8192B_1W_64B_32768B_2W_64B,5.61,758.63,5.26,732.34,5.10,713.76,5.08,702.32,5.15,696.91,5.26,696.21,5.37,698.85,
8192B_1W_64B_32768B_1W_64B,8.50,901.88,7.64,865.56,7.01,835.65,6.58,811.78,6.32,792.96,6.18,777.85,6.13,765.07,
8192B_1W_64B_16384B_1W_64B,11.39,1187.18,10.68,1148.61,10.12,1114.56,9.75,1086.12,9.56,1063.95,9.50,1048.07,9.52,1038.06,
8192B_1W_64B_16384B_2W_64B,8.05,957.62,7.48,923.78,7.11,898.50,6.90,879.68,6.81,868.06,6.80,862.92,6.82,863.27,
32768B_1W_64B_32768B_4W_64B,5.16,820.53,5.17,819.47,5.18,842.68,5.21,828.90,5.21,838.01,5.18,849.20,5.13,861.86,
32768B_1W_64B_32768B_2W_64B,5.62,739.57,5.26,728.51,5.22,726.42,5.20,724.88,5.21,725.01,5.30,727.82,5.40,731.57,
32768B_1W_64B_32768B_1W_64B,8.25,856.13,7.41,828.38,6.81,804.36,6.41,783.18,6.19,764.04,6.09,746.30,6.07,729.61,
32768B_4W_64B_32768B_4W_64B,5.21,844.33,5.21,836.75,5.24,832.88,5.25,832.43,5.24,835.17,5.20,840.93,5.14,849.48,
32768B_4W_64B_32768B_1W_64B,8.10,835.02,7.33,811.25,6.75,790.63,6.45,777.51,6.33,766.63,6.19,754.78,6.18,745.48,
32768B_4W_64B_32768B_2W_64B,5.59,741.29,5.32,730.40,5.22,726.42,5.20,724.88,5.31,729.20,5.40,735.80,5.48,744.41,
16384B_2W_64B_32768B_4W_64B,5.08,859.40,5.14,849.99,5.20,844.81,5.24,843.20,5.25,844.60,5.23,848.55,5.19,854.70,
16384B_2W_64B_16384B_2W_64B,8.03,950.03,7.48,921.30,7.10,900.50,6.88,887.56,6.80,884.61,6.75,881.95,6.77,887.41,
16384B_2W_64B_16384B_1W_64B,11.23,1168.45,10.54,1133.60,9.99,1104.86,9.63,1082.94,9.45,1067.88,9.40,1059.24,9.41,1056.32,
32768B_1W_64B_8192B_1W_64B,14.92,1607.24,14.24,1560.28,13.58,1520.01,13.03,1487.11,12.66,1462.17,12.44,1444.27,12.34,1432.82,
16384B_1W_64B_32768B_2W_64B,5.60,748.43,5.26,728.51,5.11,715.89,5.10,709.16,5.17,707.16,5.27,708.53,5.38,712.04,
16384B_1W_64B_32768B_4W_64B,5.07,853.23,5.12,845.53,5.18,842.68,5.22,843.07,5.24,846.92,5.22,853.34,5.18,861.82,
16384B_2W_64B_32768B_1W_64B,8.36,882.23,7.53,850.08,6.93,824.09,6.53,803.43,6.29,786.83,6.18,772.97,6.15,760.65,
16384B_2W_64B_32768B_2W_64B,5.59,749.94,5.27,728.89,5.13,715.09,5.13,707.59,5.21,705.17,5.31,706.54,5.41,710.51,
32768B_1W_64B_16384B_1W_64B,11.06,1150.50,10.37,1117.19,9.79,1091.06,9.40,1072.34,9.18,1060.74,9.09,1055.65,9.08,1056.64,
32768B_4W_64B_16384B_1W_64B,10.96,1128.21,10.30,1107.85,9.78,1095.65,9.43,1090.46,9.25,1092.00,9.19,1099.09,9.19,1110.76,
16384B_2W_64B_8192B_1W_64B,14.42,1619.46,13.74,1572.57,13.12,1530.33,12.65,1494.39,12.36,1465.60,12.23,1444.09,12.22,1429.47,
32768B_2W_64B_32768B_4W_64B,5.17,824.26,5.18,821.02,5.21,821.82,5.22,826.13,5.22,833.42,5.19,842.96,5.13,854.97,
32768B_2W_64B_32768B_2W_64B,5.61,739.21,5.30,729.55,5.17,725.16,5.17,724.80,5.24,727.32,5.34,731.76,5.43,737.38,
32768B_2W_64B_32768B_1W_64B,8.19,851.27,7.40,826.95,6.80,803.51,6.42,784.75,6.21,768.13,6.07,752.13,6.11,738.69,
32768B_2W_32B_16384B_1W_32B,13.72,1350.88,13.48,1331.19,13.18,1300.65,12.77,1259.37,12.24,1208.40,11.60,1149.75,10.93,1086.12,
32768B_2W_32B_16384B_2W_32B,15.31,1248.83,15.08,1227.29,14.74,1194.31,14.24,1150.47,13.57,1097.35,12.78,1037.43,11.96,973.63,
32768B_2W_32B_8192B_1W_32B,25.78,2208.85,25.66,2184.81,25.48,2148.23,25.20,2098.85,24.75,2037.27,24.11,1965.00,23.27,1884.51,
32768B_4W_32B_8192B_1W_32B,25.99,2178.52,25.87,2155.31,25.68,2119.34,25.38,2070.51,24.91,2009.68,24.23,1938.72,23.37,1860.40,
8192B_1W_32B_8192B_1W_32B,24.57,2015.54,24.40,2024.76,24.18,2025.18,23.85,2015.27,23.38,1993.83,22.73,1960.15,21.93,1914.24,
32768B_4W_32B_16384B_2W_32B,15.55,1219.40,15.30,1196.89,14.93,1164.20,14.40,1122.06,13.70,1072.17,12.89,1016.98,12.06,959.20,
16384B_1W_32B_8192B_1W_32B,24.95,2097.48,24.80,2097.58,24.59,2086.49,24.24,2067.91,23.82,2029.55,23.18,1982.41,22.38,1923.55,
16384B_1W_32B_16384B_2W_32B,14.45,1119.69,14.19,1121.28,13.82,1113.54,13.31,1095.45,12.66,1066.85,11.91,1028.53,11.15,982.30,
16384B_1W_32B_16384B_1W_32B,13.23,1222.83,12.97,1222.59,12.65,1213.59,12.22,1194.75,11.68,1165.62,11.07,1126.60,10.43,1079.04,
32768B_1W_32B_16384B_2W_32B,15.19,1261.60,14.97,1240.08,14.64,1206.72,14.16,1162.04,13.51,1107.53,12.73,1045.64,11.91,979.32,
16384B_1W_32B_32768B_1W_32B,9.24,792.74,8.87,806.65,8.40,812.85,7.91,811.04,7.49,801.84,7.23,786.81,7.14,768.22,
8192B_1W_32B_32768B_4W_32B,5.52,686.43,5.57,690.90,5.54,691.18,5.50,689.21,5.50,687.50,5.56,688.63,5.66,694.60,
8192B_1W_32B_32768B_2W_32B,6.01,619.33,5.93,634.30,5.80,644.25,5.69,649.27,5.67,650.15,5.78,648.40,6.00,646.02,
8192B_1W_32B_32768B_1W_32B,9.47,777.77,9.04,796.23,8.53,808.08,8.01,812.53,7.57,809.52,7.29,799.88,7.20,785.45,
8192B_1W_32B_16384B_1W_32B,13.05,1142.46,12.79,1149.46,12.45,1149.37,12.00,1140.73,11.46,1122.54,10.85,1094.49,10.23,1057.16,
8192B_1W_32B_16384B_2W_32B,14.09,1035.66,13.81,1044.86,13.42,1046.65,12.90,1039.63,12.25,1022.95,11.52,996.61,10.79,961.58,
32768B_1W_32B_32768B_4W_32B,6.04,712.80,6.06,708.51,5.95,703.88,5.80,701.18,5.68,702.23,5.63,708.06,5.63,718.80,
32768B_1W_32B_32768B_2W_32B,5.73,667.32,5.78,671.95,5.75,670.81,5.69,665.33,5.68,658.49,5.75,651.75,5.92,647.33,
32768B_1W_32B_32768B_1W_32B,8.79,813.45,8.52,812.96,8.15,803.91,7.73,787.48,7.36,765.78,7.12,741.46,7.05,717.22,
32768B_4W_32B_32768B_4W_32B,6.14,721.07,6.11,710.11,5.98,700.92,5.67,695.65,5.71,696.89,5.67,704.53,5.69,718.66,
32768B_4W_32B_32768B_1W_32B,8.72,854.73,8.43,853.03,8.05,844.45,7.65,831.01,7.31,814.59,7.12,797.53,7.09,781.94,
32768B_4W_32B_32768B_2W_32B,5.74,699.56,5.78,699.23,5.74,696.19,5.69,665.33,5.70,689.73,5.80,690.12,5.98,694.63,
16384B_2W_32B_32768B_4W_32B,5.71,701.72,5.74,699.92,5.67,695.20,5.60,690.97,5.57,688.95,5.59,691.73,5.66,700.81,
16384B_2W_32B_16384B_2W_32B,14.56,1108.02,14.29,1108.15,13.91,1099.40,13.39,1080.89,12.72,1052.50,11.97,1015.14,11.21,970.62,
16384B_2W_32B_16384B_1W_32B,13.31,1213.42,13.03,1215.31,12.72,1198.61,12.57,1191.01,11.73,1158.29,11.10,1120.34,10.47,1073.49,
32768B_1W_32B_8192B_1W_32B,25.67,2216.73,25.55,2192.32,25.38,2155.60,25.11,2106.26,24.68,2044.72,24.05,1972.31,23.22,1891.29,
16384B_1W_32B_32768B_2W_32B,5.91,633.59,5.88,646.34,5.78,653.69,5.69,665.33,5.67,654.88,5.77,651.84,5.97,649.14,
16384B_1W_32B_32768B_4W_32B,5.68,695.57,5.72,696.74,5.67,695.20,5.59,692.47,5.55,691.86,5.57,695.38,5.64,704.59,
16384B_2W_32B_32768B_1W_32B,9.21,809.34,8.83,821.23,8.36,825.94,7.88,823.32,7.47,814.12,7.22,799.94,7.16,783.04,
16384B_2W_32B_32768B_2W_32B,5.91,646.87,5.87,656.40,5.77,661.08,5.69,661.67,5.68,659.62,5.79,656.90,6.00,655.59,
32768B_1W_32B_16384B_1W_32B,13.64,1359.25,13.40,1338.84,13.10,1307.62,12.70,1265.60,12.18,1213.71,11.56,1153.78,10.88,1088.43,
32768B_4W_32B_16384B_1W_32B,13.89,1322.37,13.64,1303.86,13.32,1274.85,12.89,1235.61,12.34,1187.39,11.69,1132.40,10.47,1073.49,
16384B_2W_32B_8192B_1W_32B,25.05,2087.23,24.90,2087.45,24.43,2077.53,24.38,2055.29,23.91,2020.88,23.25,1973.97,22.43,1915.45,
32768B_2W_32B_32768B_4W_32B,6.08,710.70,6.08,704.17,5.96,698.13,5.80,694.91,5.69,696.68,5.64,703.30,5.65,715.80,
32768B_2W_32B_32768B_2W_32B,5.73,675.88,5.78,679.23,5.75,677.89,5.69,673.51,5.68,668.20,5.77,664.06,5.94,662.78,
32768B_2W_32B_32768B_1W_32B,8.77,828.45,8.49,827.91,8.11,819.35,7.70,804.05,7.35,784.10,7.12,762.10,7.06,740.59,
