32768B_2W_64B_16384B_1W_64B,1.32,182.59,1.27,180.18,1.21,177.34,1.19,175.63,1.16,173.48,1.18,175.36,1.12,169.46,
32768B_2W_64B_16384B_2W_64B,0.89,152.61,0.88,151.91,0.88,151.28,0.88,150.69,0.88,150.16,0.89,149.67,0.90,149.24,
32768B_2W_64B_8192B_1W_64B,1.63,211.90,1.58,211.21,1.53,208.10,1.47,205.04,1.43,202.04,1.39,199.12,1.35,196.26,
32768B_4W_64B_8192B_1W_64B,1.59,212.35,1.54,209.23,1.49,206.16,1.45,203.15,1.40,200.22,1.42,200.77,1.42,200.87,
8192B_1W_64B_8192B_1W_64B,1.66,213.20,1.58,210.04,1.44,201.31,1.46,203.90,1.41,200.92,1.36,198.01,1.32,195.17,
32768B_4W_64B_16384B_2W_64B,0.89,152.64,0.89,151.99,0.89,151.40,0.87,149.41,0.91,150.37,0.91,149.93,0.92,149.53,
16384B_1W_64B_8192B_1W_64B,1.67,213.94,1.59,210.77,1.44,201.31,1.47,204.59,1.42,201.60,1.37,198.68,1.34,195.83,
16384B_1W_64B_16384B_2W_64B,0.93,153.02,0.88,150.13,0.87,150.88,0.86,150.30,0.86,149.76,0.86,149.28,0.86,148.19,
16384B_1W_64B_16384B_1W_64B,1.33,182.19,1.28,179.79,1.23,177.47,1.19,175.24,1.19,176.38,1.12,171.05,1.10,169.09,
32768B_1W_64B_16384B_2W_64B,0.90,152.62,0.88,150.13,0.88,151.23,0.87,150.62,0.87,150.07,0.88,149.56,0.89,149.11,
16384B_1W_64B_32768B_1W_64B,0.96,145.95,0.94,144.38,0.89,142.20,0.90,143.76,0.89,143.13,0.88,142.55,0.87,142.02,
8192B_1W_64B_32768B_4W_64B,0.77,161.87,0.77,162.16,0.77,162.45,0.77,162.73,0.78,163.01,0.78,163.29,0.79,163.56,
8192B_1W_64B_32768B_2W_64B,0.81,142.01,0.80,142.06,0.80,142.14,0.80,142.24,0.79,142.35,0.79,142.48,0.79,141.84,
8192B_1W_64B_32768B_1W_64B,0.96,145.75,0.94,144.97,0.92,144.25,0.90,143.59,0.89,142.97,0.88,142.40,0.87,141.88,
8192B_1W_64B_16384B_1W_64B,1.40,187.89,1.27,179.24,1.22,176.94,1.18,174.73,1.15,172.61,1.11,170.58,1.09,168.63,
8192B_1W_64B_16384B_2W_64B,0.89,152.02,0.88,150.13,0.87,150.71,0.86,150.13,0.86,149.61,0.86,149.14,0.86,148.19,
32768B_1W_64B_32768B_4W_64B,0.77,161.78,0.77,162.07,0.78,163.10,0.78,162.64,0.78,162.92,0.79,163.20,0.80,163.48,
32768B_1W_64B_32768B_2W_64B,0.81,144.01,0.80,142.56,0.81,143.36,0.80,143.12,0.80,142.39,0.80,142.51,0.80,142.65,
32768B_1W_64B_32768B_1W_64B,0.96,146.37,0.94,145.56,0.89,142.20,0.91,144.10,0.90,143.45,0.88,142.86,0.88,142.30,
32768B_4W_64B_32768B_4W_64B,0.78,163.15,0.78,163.15,0.79,163.42,0.80,163.69,0.82,163.96,0.83,164.22,0.85,164.48,
32768B_4W_64B_32768B_1W_64B,0.93,146.03,0.94,144.38,0.89,142.20,0.89,141.65,0.89,142.05,0.88,141.11,0.89,142.36,
32768B_4W_64B_32768B_2W_64B,0.80,143.04,0.80,143.11,0.81,143.36,0.80,143.12,0.81,143.45,0.82,143.60,0.84,143.77,
16384B_2W_64B_32768B_4W_64B,0.77,162.21,0.77,162.49,0.77,162.78,0.78,163.06,0.78,163.33,0.79,163.61,0.80,163.88,
16384B_2W_64B_16384B_2W_64B,0.89,152.22,0.88,151.55,0.87,150.93,0.87,150.37,0.87,149.51,0.87,149.81,0.88,148.98,
16384B_2W_64B_16384B_1W_64B,1.30,181.46,1.25,179.09,1.21,176.80,1.17,174.61,1.14,172.51,1.12,170.49,1.10,168.56,
32768B_1W_64B_8192B_1W_64B,1.69,215.41,1.62,212.22,1.55,209.08,1.43,201.33,1.44,202.98,1.40,200.02,1.36,197.14,
16384B_1W_64B_32768B_2W_64B,0.81,142.04,0.80,142.56,0.80,142.16,0.80,142.25,0.79,142.36,0.79,142.49,0.80,142.64,
16384B_1W_64B_32768B_4W_64B,0.77,161.84,0.77,162.13,0.78,163.10,0.77,162.70,0.78,162.98,0.78,163.26,0.79,163.54,
16384B_2W_64B_32768B_1W_64B,1.09,152.24,0.93,145.07,0.91,144.36,0.90,143.71,0.89,143.10,0.88,142.55,0.87,142.04,
16384B_2W_64B_32768B_2W_64B,0.80,142.35,0.80,142.41,0.80,142.49,0.80,142.59,0.80,142.71,0.80,142.85,0.80,143.01,
32768B_1W_64B_16384B_1W_64B,1.34,183.34,1.29,180.90,1.24,178.54,1.19,175.91,1.19,176.38,1.14,172.01,1.18,175.45,
32768B_4W_64B_16384B_1W_64B,1.27,181.14,1.23,178.80,1.21,177.34,1.17,174.39,1.15,172.31,1.18,175.36,1.12,168.43,
16384B_2W_64B_8192B_1W_64B,1.63,212.91,1.56,209.76,1.50,206.67,1.45,203.64,1.40,200.68,1.36,197.78,1.33,194.96,
32768B_2W_64B_32768B_4W_64B,0.77,162.15,0.77,162.43,0.78,162.72,0.78,163.00,0.79,163.27,0.78,163.18,0.81,163.82,
32768B_2W_64B_32768B_2W_64B,0.81,142.40,0.80,142.46,0.80,142.53,0.80,142.63,0.80,142.74,0.80,142.87,0.81,143.02,
32768B_2W_64B_32768B_1W_64B,0.95,146.24,0.94,144.38,0.92,144.72,0.90,144.04,0.89,143.42,0.88,141.11,0.88,142.31,
32768B_2W_32B_16384B_1W_32B,1.94,210.44,1.87,207.12,1.79,203.86,1.72,200.64,1.65,197.49,1.59,194.39,1.52,191.37,
32768B_2W_32B_16384B_2W_32B,1.14,155.82,1.12,154.14,1.10,152.54,1.08,151.02,1.06,149.57,1.04,148.19,1.02,146.88,
32768B_2W_32B_8192B_1W_32B,2.41,247.66,2.32,244.22,2.23,240.76,2.14,237.29,2.06,233.81,1.97,230.33,1.89,226.85,
32768B_4W_32B_8192B_1W_32B,2.32,245.21,2.23,241.76,2.14,238.29,2.05,234.81,1.97,231.33,1.89,227.86,1.81,224.39,
8192B_1W_32B_8192B_1W_32B,2.40,246.56,2.32,243.11,2.24,239.65,2.15,236.17,2.07,232.69,1.98,229.21,1.90,225.73,
32768B_4W_32B_16384B_2W_32B,1.12,154.70,1.10,153.08,1.08,151.54,1.06,150.08,1.04,148.68,1.02,147.36,1.01,146.11,
16384B_1W_32B_8192B_1W_32B,2.42,247.33,2.38,248.78,2.25,240.43,2.36,247.59,2.08,233.48,1.99,229.99,1.91,226.52,
16384B_1W_32B_16384B_2W_32B,1.13,155.60,1.11,153.93,1.09,152.33,1.08,150.81,1.06,149.37,1.04,148.00,1.03,146.69,
16384B_1W_32B_16384B_1W_32B,1.93,210.12,1.87,206.81,1.80,203.54,1.73,200.33,1.67,197.18,1.51,188.51,1.54,191.07,
32768B_1W_32B_16384B_2W_32B,1.15,156.40,1.13,154.69,1.11,153.06,1.09,151.50,1.07,150.03,1.05,148.62,1.03,147.29,
16384B_1W_32B_32768B_1W_32B,1.22,154.10,1.17,152.71,1.16,150.82,1.14,149.29,1.12,147.83,1.11,146.44,1.09,145.13,
8192B_1W_32B_32768B_4W_32B,0.81,134.89,0.83,135.16,0.84,135.43,0.85,135.70,0.86,135.99,0.87,136.28,0.87,135.88,
8192B_1W_32B_32768B_2W_32B,0.88,132.55,0.88,132.07,0.88,131.62,0.89,131.21,0.90,130.82,0.91,130.46,0.91,130.13,
8192B_1W_32B_32768B_1W_32B,1.21,153.72,1.17,152.71,1.15,150.46,1.13,148.95,1.11,147.51,1.10,146.14,1.06,147.33,
8192B_1W_32B_16384B_1W_32B,1.92,209.37,1.85,206.06,1.78,202.81,1.72,199.61,1.65,196.48,1.59,193.40,1.53,190.40,
8192B_1W_32B_16384B_2W_32B,1.12,155.21,1.10,153.56,1.09,151.98,1.07,150.48,1.05,149.05,1.04,147.69,1.02,146.40,
32768B_1W_32B_32768B_4W_32B,0.83,134.82,0.85,135.08,0.86,135.35,0.87,135.62,0.87,135.90,0.87,135.86,0.88,136.48,
32768B_1W_32B_32768B_2W_32B,0.90,132.66,0.90,132.42,0.91,131.95,0.89,131.52,0.92,131.11,0.92,130.73,0.92,130.38,
32768B_1W_32B_32768B_1W_32B,1.24,154.90,1.21,153.18,1.18,151.54,1.16,149.98,1.14,148.49,1.12,147.07,1.10,145.72,
32768B_4W_32B_32768B_4W_32B,0.87,135.90,0.87,136.18,0.88,136.46,0.87,135.88,0.88,137.06,0.88,137.36,0.88,137.67,
32768B_4W_32B_32768B_1W_32B,1.22,153.12,1.17,152.71,1.17,149.93,1.15,148.45,1.12,147.04,1.10,145.70,1.08,144.43,
32768B_4W_32B_32768B_2W_32B,0.93,132.57,0.93,132.11,0.93,131.69,0.89,131.52,0.92,130.92,0.92,130.58,0.92,130.27,
16384B_2W_32B_32768B_4W_32B,0.83,135.22,0.85,135.49,0.87,135.86,0.87,136.05,0.87,135.88,0.88,136.63,0.88,136.94,
16384B_2W_32B_16384B_2W_32B,1.13,155.04,1.11,153.40,1.09,151.83,1.07,150.34,1.05,148.92,1.03,147.58,1.02,146.30,
16384B_2W_32B_16384B_1W_32B,1.91,208.93,1.79,203.52,1.80,204.61,1.78,203.53,1.63,196.08,1.51,188.51,1.41,183.43,
32768B_1W_32B_8192B_1W_32B,2.45,248.88,2.36,245.45,2.28,242.00,2.19,238.53,2.10,235.05,2.02,231.57,1.93,228.09,
16384B_1W_32B_32768B_2W_32B,0.88,132.67,0.88,132.18,0.89,131.73,0.89,131.52,0.91,130.91,0.89,131.86,0.91,130.22,
16384B_1W_32B_32768B_4W_32B,0.87,135.86,0.83,135.13,0.87,135.86,0.86,135.68,0.87,135.96,0.87,136.25,0.88,136.55,
16384B_2W_32B_32768B_1W_32B,1.21,153.51,1.18,151.86,1.16,150.28,1.14,148.78,1.12,147.35,1.10,145.99,1.09,144.70,
16384B_2W_32B_32768B_2W_32B,0.89,132.55,0.90,132.08,0.90,131.64,0.91,131.23,0.91,130.85,0.89,131.86,0.92,130.18,
32768B_1W_32B_16384B_1W_32B,1.97,211.63,1.90,208.30,1.83,205.01,1.76,201.78,1.69,198.60,1.62,195.48,1.56,192.43,
32768B_4W_32B_16384B_1W_32B,1.87,208.08,1.79,204.80,1.72,201.57,1.65,198.40,1.58,195.29,1.52,192.25,1.41,183.43,
16384B_2W_32B_8192B_1W_32B,2.38,246.11,2.30,242.66,2.08,232.88,2.12,235.72,2.04,232.24,1.95,228.76,1.87,225.28,
32768B_2W_32B_32768B_4W_32B,0.85,135.17,0.86,135.44,0.87,135.71,0.87,135.99,0.87,135.88,0.88,136.57,0.88,136.87,
32768B_2W_32B_32768B_2W_32B,0.91,132.80,0.91,132.31,0.92,131.85,0.92,131.43,0.92,131.04,0.92,130.67,0.92,130.34,
32768B_2W_32B_32768B_1W_32B,1.23,154.29,1.20,152.60,1.18,150.99,1.15,151.59,1.14,147.99,1.12,146.60,1.10,145.28,
