32768B_2W_64B_16384B_1W_64B,2.59,130.84,2.16,139.93,2.06,141.68,2.00,144.24,1.92,147.94,1.87,149.85,1.85,150.20,
32768B_2W_64B_16384B_2W_64B,1.82,147.66,1.68,150.93,1.77,150.38,1.74,152.92,1.65,156.97,1.61,159.01,1.61,158.45,
32768B_2W_64B_8192B_1W_64B,2.73,130.16,2.31,138.59,2.20,140.19,2.11,142.76,2.02,146.27,1.98,148.01,1.96,148.32,
32768B_4W_64B_8192B_1W_64B,1.48,162.03,1.49,160.68,1.71,158.81,1.77,160.50,1.74,163.57,1.75,165.01,1.80,163.62,
8192B_1W_64B_8192B_1W_64B,6.52,118.49,5.66,128.01,5.61,128.60,5.50,130.24,5.47,130.61,5.44,131.27,5.41,131.54,
32768B_4W_64B_16384B_2W_64B,1.25,173.57,1.20,170.47,1.47,168.40,1.60,169.67,1.63,172.13,1.71,173.15,1.83,171.09,
16384B_1W_64B_8192B_1W_64B,5.25,117.52,4.61,128.99,4.42,131.28,4.34,132.18,4.29,133.46,4.28,133.83,4.29,134.52,
16384B_1W_64B_16384B_2W_64B,3.58,129.78,3.17,137.25,3.03,138.42,2.92,140.71,2.83,143.84,2.79,145.31,2.79,145.58,
16384B_1W_64B_16384B_1W_64B,4.28,115.88,3.43,130.94,3.38,131.98,3.26,134.86,3.24,135.48,3.20,136.44,3.17,137.16,
32768B_1W_64B_16384B_2W_64B,2.59,130.84,2.16,139.93,2.06,141.68,2.00,144.24,1.92,147.94,1.87,149.85,1.85,150.20,
16384B_1W_64B_32768B_1W_64B,3.43,115.65,2.74,130.74,2.57,135.32,2.56,137.07,2.51,139.23,2.47,140.39,2.44,141.45,
8192B_1W_64B_32768B_4W_64B,1.48,162.03,1.49,160.68,1.71,158.81,1.77,160.50,1.74,163.57,1.75,165.01,1.80,163.62,
8192B_1W_64B_32768B_2W_64B,2.73,130.16,2.31,138.59,2.20,140.19,2.11,142.76,2.02,146.27,1.98,148.01,1.96,148.32,
8192B_1W_64B_32768B_1W_64B,3.48,115.95,2.81,130.18,2.65,134.23,2.61,135.93,2.56,137.97,2.52,138.95,2.50,139.86,
8192B_1W_64B_16384B_1W_64B,5.25,117.52,4.61,128.99,4.42,131.28,4.34,132.18,4.29,133.46,4.28,133.83,4.29,134.52,
8192B_1W_64B_16384B_2W_64B,4.83,129.33,4.43,135.62,4.26,136.25,4.12,138.15,4.03,140.81,4.02,141.96,4.03,142.19,
32768B_1W_64B_32768B_4W_64B,2.03,165.19,1.95,164.12,2.22,161.03,2.33,162.18,2.30,165.47,2.28,167.14,2.31,165.61,
32768B_1W_64B_32768B_2W_64B,3.31,134.57,2.81,144.04,2.71,144.90,2.68,145.98,2.60,148.82,2.54,150.44,2.50,150.79,
32768B_1W_64B_32768B_1W_64B,3.97,117.27,3.11,134.25,2.99,137.57,2.95,138.77,2.92,139.47,2.89,140.57,2.86,141.44,
32768B_4W_64B_32768B_4W_64B,2.48,178.83,2.43,181.30,2.48,178.78,2.42,181.76,2.35,185.68,2.33,186.52,2.34,185.95,
32768B_4W_64B_32768B_1W_64B,2.03,165.19,1.95,164.12,2.22,161.03,2.33,162.18,2.30,165.47,2.28,167.14,2.31,165.61,
32768B_4W_64B_32768B_2W_64B,1.84,174.05,1.73,170.79,2.01,168.19,2.17,169.63,2.19,172.61,2.24,173.97,2.33,171.87,
16384B_2W_64B_32768B_4W_64B,1.25,173.57,1.20,170.47,1.47,168.40,1.60,169.67,1.63,172.13,1.71,173.15,1.83,171.09,
16384B_2W_64B_16384B_2W_64B,2.79,144.77,2.65,149.46,2.74,146.33,2.64,150.08,2.55,153.40,2.53,154.24,2.53,154.07,
16384B_2W_64B_16384B_1W_64B,3.58,129.78,3.17,137.25,3.03,138.42,2.92,140.71,2.83,143.84,2.79,145.31,2.79,145.58,
32768B_1W_64B_8192B_1W_64B,3.48,115.95,2.81,130.18,2.65,134.23,2.61,135.93,2.56,137.97,2.52,138.95,2.50,139.86,
