32768B_2W_64B_16384B_1W_64B,80.95,132.79,80.73,133.45,80.53,133.46,80.36,133.45,80.21,133.52,80.07,133.51,79.96,133.42,
32768B_2W_64B_16384B_2W_64B,80.20,143.29,80.07,143.49,79.95,143.42,79.86,143.46,79.77,143.50,79.70,143.45,79.64,143.39,
32768B_2W_64B_8192B_1W_64B,81.40,132.27,81.14,132.94,80.90,132.93,80.69,132.90,80.49,132.98,80.32,132.98,80.18,132.88,
32768B_4W_64B_8192B_1W_64B,79.93,153.09,79.83,153.04,79.75,152.98,79.69,153.04,79.63,153.04,79.58,152.96,79.54,152.91,
8192B_1W_64B_8192B_1W_64B,84.95,121.86,83.30,123.16,83.27,123.19,83.29,123.16,83.29,123.18,83.21,123.23,83.21,123.24,
32768B_4W_64B_16384B_2W_64B,79.54,163.63,79.51,163.50,79.48,163.51,79.46,163.53,79.43,163.48,79.42,163.41,79.40,163.43,
16384B_1W_64B_8192B_1W_64B,83.82,122.36,83.50,123.59,83.17,123.80,82.84,123.65,82.51,123.66,82.18,123.76,81.87,123.73,
16384B_1W_64B_16384B_2W_64B,81.92,131.77,81.62,132.44,81.34,132.40,81.09,132.34,80.85,132.42,80.64,132.45,80.46,132.35,
16384B_1W_64B_16384B_1W_64B,84.05,122.70,82.40,124.02,82.37,124.05,82.40,124.03,82.39,124.04,82.31,124.10,82.31,124.10,
32768B_1W_64B_16384B_2W_64B,80.95,132.79,80.73,133.45,80.53,133.46,80.36,133.45,80.21,133.52,80.07,133.51,79.96,133.42,
16384B_1W_64B_32768B_1W_64B,82.07,123.48,81.77,124.76,81.48,125.03,81.21,124.99,80.96,125.03,80.74,125.06,80.54,124.98,
8192B_1W_64B_32768B_4W_64B,79.93,153.09,79.83,153.04,79.75,152.98,79.69,153.04,79.63,153.04,79.58,152.96,79.54,152.91,
8192B_1W_64B_32768B_2W_64B,81.40,132.27,81.14,132.94,80.90,132.93,80.69,132.90,80.49,132.98,80.32,132.98,80.18,132.88,
8192B_1W_64B_32768B_1W_64B,82.65,122.97,82.32,124.25,82.01,124.51,81.70,124.44,81.42,124.47,81.15,124.51,80.91,124.43,
8192B_1W_64B_16384B_1W_64B,83.82,122.36,83.50,123.59,83.17,123.80,82.84,123.65,82.51,123.66,82.18,123.76,81.87,123.73,
8192B_1W_64B_16384B_2W_64B,82.49,131.14,82.17,131.78,81.86,131.71,81.56,131.62,81.29,131.72,81.03,131.78,80.81,131.71,
32768B_1W_64B_32768B_4W_64B,79.56,155.22,79.53,155.10,79.49,155.03,79.47,155.06,79.44,155.07,79.43,155.06,79.41,155.08,
32768B_1W_64B_32768B_2W_64B,80.27,134.51,80.13,135.07,80.01,135.05,79.90,135.03,79.81,135.09,79.73,135.11,79.67,135.10,
32768B_1W_64B_32768B_1W_64B,81.78,125.57,80.13,126.99,80.05,127.06,80.13,127.00,80.12,127.00,80.04,127.07,80.04,127.07,
