32768B_2W_64B_16384B_1W_64B,51.87,119.74,48.54,122.39,45.50,126.10,43.50,128.02,42.19,130.95,41.61,133.93,41.53,136.93,
32768B_2W_64B_16384B_2W_64B,39.21,139.21,36.82,142.19,35.03,145.24,33.96,148.32,33.60,151.41,33.71,154.47,34.04,157.49,
32768B_2W_64B_8192B_1W_64B,62.08,116.70,58.48,120.31,55.55,122.76,53.44,125.33,52.23,128.01,51.71,130.80,51.54,133.68,
32768B_4W_64B_8192B_1W_64B,64.37,117.69,60.54,119.99,57.14,122.43,54.33,125.00,52.19,127.69,50.82,130.96,50.04,132.02,
8192B_1W_64B_8192B_1W_64B,62.75,117.59,59.54,119.51,56.36,121.54,53.49,123.68,51.20,125.94,49.62,128.31,48.68,130.80,
32768B_4W_64B_16384B_2W_64B,43.59,138.95,39.96,141.91,37.08,144.95,34.61,144.69,34.10,151.14,33.99,154.23,34.65,157.28,
16384B_1W_64B_8192B_1W_64B,62.33,117.60,59.21,119.64,56.16,121.81,53.46,124.09,51.33,126.49,49.85,129.00,48.91,131.63,
16384B_1W_64B_16384B_2W_64B,38.28,137.44,36.09,140.93,34.41,143.05,33.11,145.98,32.30,148.97,31.90,152.00,32.22,151.37,
16384B_1W_64B_16384B_1W_64B,51.13,118.41,48.03,120.79,45.19,123.29,42.82,125.91,41.08,128.64,40.00,131.46,39.41,134.35,
32768B_1W_64B_16384B_2W_64B,38.15,139.35,36.09,140.93,34.69,145.37,33.51,148.44,32.72,151.52,32.25,154.56,31.99,157.56,
16384B_1W_64B_32768B_1W_64B,38.37,123.59,36.96,126.51,35.29,129.47,33.60,132.43,32.22,135.37,31.38,138.26,31.14,141.08,
8192B_1W_64B_32768B_4W_64B,25.46,179.99,26.44,182.66,26.94,185.21,27.01,187.62,26.80,189.89,26.47,192.01,26.15,193.98,
8192B_1W_64B_32768B_2W_64B,31.74,141.60,31.05,144.68,30.06,147.77,29.00,150.82,28.13,153.82,27.64,156.73,27.57,159.53,
8192B_1W_64B_32768B_1W_64B,39.13,122.20,37.61,125.05,35.74,127.97,33.76,130.92,32.02,133.89,30.86,136.84,30.38,139.74,
8192B_1W_64B_16384B_1W_64B,51.87,116.99,48.62,120.17,45.62,122.54,43.02,125.02,41.03,127.62,39.72,130.33,39.02,133.12,
8192B_1W_64B_16384B_2W_64B,38.58,136.74,36.09,140.93,34.42,142.06,32.97,144.88,32.03,147.78,31.58,150.74,31.47,153.74,
32768B_1W_64B_32768B_4W_64B,27.13,183.63,28.25,185.92,27.52,184.37,28.50,190.06,27.98,191.92,27.35,193.65,26.77,195.24,
32768B_1W_64B_32768B_2W_64B,30.82,145.47,30.39,149.94,31.75,145.90,29.39,153.21,29.74,156.76,29.56,159.28,29.47,161.66,
32768B_1W_64B_32768B_1W_64B,37.12,126.68,36.03,129.62,34.84,132.54,33.76,135.40,32.99,138.19,32.62,140.87,32.58,143.44,
32768B_4W_64B_32768B_4W_64B,27.42,184.83,25.00,185.04,23.37,187.22,22.78,189.26,23.15,191.17,24.27,192.95,25.84,194.61,
32768B_4W_64B_32768B_1W_64B,40.48,125.75,36.89,128.72,33.33,136.73,31.91,134.60,31.94,140.31,30.28,140.23,30.65,142.89,
32768B_4W_64B_32768B_2W_64B,36.64,145.00,33.38,148.00,31.75,145.90,29.39,153.21,28.49,156.49,28.63,159.08,29.54,161.55,
16384B_2W_64B_32768B_4W_64B,26.46,181.06,25.41,183.62,24.46,186.06,23.87,188.35,23.76,190.50,24.05,192.50,24.56,194.36,
16384B_2W_64B_16384B_2W_64B,40.78,137.32,37.96,140.07,35.52,142.92,33.72,145.86,32.98,149.13,32.22,151.45,32.65,154.96,
16384B_2W_64B_16384B_1W_64B,53.97,118.23,50.36,120.61,46.93,123.12,44.00,125.74,41.83,128.48,40.54,131.31,40.03,134.22,
32768B_1W_64B_8192B_1W_64B,61.92,118.17,59.00,120.48,56.19,122.93,53.75,126.64,51.68,128.17,50.17,130.94,49.05,133.80,
16384B_1W_64B_32768B_2W_64B,31.30,142.89,30.39,149.94,30.04,149.03,29.25,152.03,28.63,154.93,28.32,157.73,28.31,160.41,
16384B_1W_64B_32768B_4W_64B,25.93,181.39,27.02,183.94,27.52,184.37,27.61,188.64,27.33,190.77,26.90,192.75,26.47,194.59,
16384B_2W_64B_32768B_1W_64B,43.23,117.55,40.09,126.24,36.94,129.20,34.10,132.18,31.99,135.15,30.84,138.07,30.67,140.92,
16384B_2W_64B_32768B_2W_64B,36.17,142.74,33.68,145.84,31.15,148.90,29.04,151.92,27.71,154.85,27.28,157.67,27.63,160.38,
32768B_1W_64B_16384B_1W_64B,50.18,119.96,47.31,122.61,44.79,125.37,42.80,128.22,41.40,131.14,40.51,134.10,39.82,136.32,
32768B_4W_64B_16384B_1W_64B,53.46,119.32,49.12,121.96,45.50,126.10,42.49,127.59,40.47,130.54,39.34,133.55,39.07,136.59,
16384B_2W_64B_8192B_1W_64B,63.68,117.47,59.98,119.51,56.58,121.68,53.82,123.96,51.92,126.37,50.87,128.90,50.44,131.54,
32768B_2W_64B_32768B_4W_64B,26.62,183.34,26.08,185.64,25.62,187.80,25.40,189.82,25.44,191.70,25.52,194.61,25.91,195.06,
32768B_2W_64B_32768B_2W_64B,34.73,145.31,32.66,148.30,30.77,151.20,29.44,154.00,28.87,156.68,29.01,159.23,29.62,161.64,
