32768B_2W_64B_16384B_1W_64B,1.38,136.76,1.32,138.97,1.21,146.56,1.21,143.70,1.16,146.19,1.12,148.74,1.08,151.34,
32768B_2W_64B_16384B_2W_64B,0.92,165.16,0.90,167.76,0.89,170.33,0.88,172.84,0.87,175.28,0.87,177.64,0.86,179.89,
32768B_2W_64B_8192B_1W_64B,1.63,130.00,1.56,135.88,1.49,137.85,1.42,139.95,1.35,142.16,1.29,144.48,1.24,146.89,
32768B_4W_64B_8192B_1W_64B,1.54,137.43,1.47,138.83,1.40,140.34,1.34,141.96,1.28,143.71,1.22,145.58,1.17,147.56,
8192B_1W_64B_8192B_1W_64B,1.67,136.61,1.59,138.13,1.52,139.77,1.45,141.53,1.38,143.41,1.32,145.41,1.26,147.53,
32768B_4W_64B_16384B_2W_64B,0.90,163.73,0.89,166.22,0.88,168.76,0.87,171.74,0.86,173.89,0.86,176.45,0.85,178.97,
16384B_1W_64B_8192B_1W_64B,1.68,135.12,1.60,136.84,1.52,138.67,1.45,140.63,1.38,142.70,1.32,144.89,1.26,147.19,
16384B_1W_64B_16384B_2W_64B,0.92,164.82,0.88,170.60,0.90,170.00,0.89,172.55,0.88,175.06,0.87,177.50,0.86,179.86,
16384B_1W_64B_16384B_1W_64B,1.41,137.39,1.35,139.47,1.29,141.67,1.23,143.97,1.18,146.37,1.14,148.85,1.10,151.40,
32768B_1W_64B_16384B_2W_64B,0.93,165.56,0.91,168.09,0.90,170.55,0.89,172.93,0.88,175.21,0.87,177.38,0.86,179.43,
16384B_1W_64B_32768B_1W_64B,1.06,145.04,1.03,147.63,1.00,150.25,0.97,152.86,0.95,155.46,0.94,158.03,0.92,160.53,
8192B_1W_64B_32768B_4W_64B,0.82,208.06,0.82,208.76,0.82,209.40,0.82,209.98,0.82,210.50,0.82,210.98,0.82,211.42,
8192B_1W_64B_32768B_2W_64B,0.86,173.93,0.85,176.34,0.85,178.65,0.84,180.87,0.84,182.97,0.84,184.95,0.84,186.81,
8192B_1W_64B_32768B_1W_64B,1.05,144.98,1.02,147.50,1.00,150.07,0.97,152.68,0.95,155.31,0.93,157.93,0.92,160.52,
8192B_1W_64B_16384B_1W_64B,1.40,134.21,1.34,140.23,1.28,142.24,1.23,144.37,1.18,146.61,1.14,148.96,1.10,151.39,
8192B_1W_64B_16384B_2W_64B,0.92,164.09,0.88,170.60,0.90,169.20,0.89,171.77,0.88,174.33,0.87,176.85,0.86,179.31,
32768B_1W_64B_32768B_4W_64B,0.82,206.17,0.82,206.68,0.82,207.15,0.82,207.58,0.82,207.98,0.82,208.35,0.82,208.70,
32768B_1W_64B_32768B_2W_64B,0.86,173.02,0.80,178.20,0.81,176.99,0.84,178.44,0.84,180.00,0.84,181.46,0.84,182.80,
32768B_1W_64B_32768B_1W_64B,1.06,145.91,1.03,148.48,1.00,151.00,0.98,153.47,0.96,155.86,0.94,158.16,0.92,160.36,
32768B_4W_64B_32768B_4W_64B,0.78,209.17,0.82,210.29,0.82,211.00,0.82,211.65,0.82,212.23,0.82,212.76,0.82,213.25,
32768B_4W_64B_32768B_1W_64B,1.00,144.67,0.98,147.10,0.96,149.61,0.94,152.18,0.92,154.79,0.91,157.41,0.90,160.03,
32768B_4W_64B_32768B_2W_64B,0.85,173.60,0.84,176.09,0.81,176.99,0.84,180.82,0.84,183.04,0.83,185.15,0.83,187.14,
16384B_2W_64B_32768B_4W_64B,0.82,208.55,0.82,209.28,0.82,209.94,0.82,210.54,0.82,211.08,0.82,211.58,0.82,212.03,
16384B_2W_64B_16384B_2W_64B,0.91,163.97,0.90,166.50,0.89,169.06,0.88,171.63,0.87,171.85,0.86,176.73,0.86,179.21,
16384B_2W_64B_16384B_1W_64B,1.37,138.47,1.31,140.32,1.25,142.29,1.20,144.37,1.15,146.58,1.11,148.88,1.07,151.28,
32768B_1W_64B_8192B_1W_64B,1.69,133.03,1.61,135.11,1.53,137.31,1.46,139.61,1.39,142.01,1.33,144.49,1.27,147.03,
16384B_1W_64B_32768B_2W_64B,0.86,174.03,0.85,176.30,0.85,178.47,0.84,180.52,0.84,182.45,0.84,184.25,0.84,185.94,
16384B_1W_64B_32768B_4W_64B,0.82,207.85,0.82,208.47,0.82,209.04,0.82,209.55,0.82,210.02,0.82,210.45,0.82,210.85,
16384B_2W_64B_32768B_1W_64B,1.09,139.67,1.01,147.37,0.98,149.92,0.96,152.52,0.94,155.14,0.93,157.77,0.91,160.37,
16384B_2W_64B_32768B_2W_64B,0.85,173.83,0.85,176.27,0.84,178.62,0.84,180.87,0.84,183.01,0.84,185.04,0.83,186.94,
32768B_1W_64B_16384B_1W_64B,1.42,136.53,1.35,138.92,1.29,141.40,1.24,143.94,1.19,146.52,1.14,149.13,1.18,148.69,
32768B_4W_64B_16384B_1W_64B,1.30,138.76,1.24,140.52,1.21,146.56,1.15,144.40,1.11,146.52,1.07,148.74,1.04,151.08,
16384B_2W_64B_8192B_1W_64B,1.63,136.87,1.55,138.36,1.48,139.95,1.41,141.67,1.34,143.50,1.28,145.46,1.23,147.54,
32768B_2W_64B_32768B_4W_64B,0.82,207.78,0.82,208.36,0.82,208.89,0.82,209.37,0.82,209.81,0.78,209.20,0.82,210.59,
32768B_2W_64B_32768B_2W_64B,0.85,173.71,0.85,175.86,0.84,177.90,0.84,179.82,0.84,181.61,0.84,183.28,0.83,184.84,
32768B_2W_64B_32768B_1W_64B,1.04,145.18,1.01,147.79,0.99,150.39,0.96,152.97,0.94,155.51,0.88,160.35,0.91,160.39,
32768B_2W_32B_16384B_1W_32B,1.93,120.41,1.85,122.80,1.76,125.18,1.68,127.52,1.60,129.80,1.53,132.01,1.45,134.14,
32768B_2W_32B_16384B_2W_32B,1.09,136.45,1.05,138.31,1.02,140.06,0.99,141.68,0.97,143.18,0.95,144.56,0.93,145.83,
32768B_2W_32B_8192B_1W_32B,2.22,113.59,2.14,115.90,2.06,118.26,1.98,120.65,1.90,123.04,1.81,125.43,1.73,127.77,
32768B_4W_32B_8192B_1W_32B,2.12,107.14,2.04,109.13,1.96,111.22,1.87,113.40,1.79,115.67,1.71,118.00,1.63,120.38,
8192B_1W_32B_8192B_1W_32B,2.25,107.06,2.18,109.16,2.10,111.35,2.02,113.62,1.93,115.96,1.85,118.34,1.77,120.74,
