32768B_2W_64B_16384B_1W_64B,2.59,406.22,2.16,366.18,2.06,358.34,2.00,335.53,1.92,312.09,1.87,303.21,1.85,309.06,
32768B_2W_64B_16384B_2W_64B,1.82,368.62,1.68,348.95,1.77,337.31,1.74,311.79,1.65,292.67,1.61,289.81,1.61,299.61,
32768B_2W_64B_8192B_1W_64B,2.73,405.65,2.31,367.16,2.20,364.16,2.11,348.34,2.02,327.47,1.98,316.82,1.96,322.79,
32768B_4W_64B_8192B_1W_64B,1.48,345.87,1.49,340.70,1.71,329.98,1.77,308.65,1.74,294.07,1.75,296.04,1.80,313.17,
8192B_1W_64B_8192B_1W_64B,6.52,772.55,5.66,724.54,5.61,721.45,5.50,716.32,5.47,714.44,5.44,714.11,5.41,711.63,
32768B_4W_64B_16384B_2W_64B,1.25,358.08,1.20,350.81,1.47,327.52,1.60,304.09,1.63,295.69,1.71,301.82,1.83,314.86,
16384B_1W_64B_8192B_1W_64B,5.25,624.18,4.61,579.73,4.42,582.28,4.34,588.93,4.29,590.97,4.28,592.38,4.29,595.57,
16384B_1W_64B_16384B_2W_64B,3.58,448.03,3.17,416.56,3.03,422.21,2.92,420.30,2.83,412.99,2.79,409.48,2.79,417.62,
16384B_1W_64B_16384B_1W_64B,4.28,495.97,3.43,449.12,3.38,446.09,3.26,439.64,3.24,438.96,3.20,436.61,3.17,434.80,
32768B_1W_64B_16384B_2W_64B,2.59,406.22,2.16,366.18,2.06,358.34,2.00,335.53,1.92,312.09,1.87,303.21,1.85,309.06,
16384B_1W_64B_32768B_1W_64B,3.43,463.30,2.74,396.87,2.57,386.11,2.56,367.67,2.51,341.22,2.47,325.70,2.44,326.02,
8192B_1W_64B_32768B_4W_64B,1.48,345.87,1.49,340.70,1.71,329.98,1.77,308.65,1.74,294.07,1.75,296.04,1.80,313.17,
8192B_1W_64B_32768B_2W_64B,2.73,405.65,2.31,367.16,2.20,364.16,2.11,348.34,2.02,327.47,1.98,316.82,1.96,322.79,
