32768B_2W_64B_16384B_1W_64B,7.15,717.66,6.94,794.47,6.77,744.28,6.65,671.43,6.53,599.93,6.30,548.14,5.60,529.91,
32768B_2W_64B_16384B_2W_64B,6.44,583.71,6.42,690.65,6.40,651.78,6.39,609.72,6.35,568.06,6.14,543.25,5.46,552.27,
32768B_2W_64B_8192B_1W_64B,8.25,887.11,7.98,874.31,7.69,826.04,7.09,760.83,6.24,711.83,5.89,682.24,5.78,674.82,
32768B_4W_64B_8192B_1W_64B,7.25,759.95,7.23,784.71,7.11,759.76,6.59,738.66,5.89,726.91,5.68,730.08,5.65,755.71,
8192B_1W_64B_8192B_1W_64B,14.96,1594.14,14.00,1539.02,13.35,1503.08,13.03,1487.11,12.73,1467.64,12.68,1465.43,12.65,1464.11,
32768B_4W_64B_16384B_2W_64B,6.37,558.50,6.37,749.28,6.37,752.58,6.36,787.77,6.32,813.40,6.06,833.04,5.33,870.58,
16384B_1W_64B_8192B_1W_64B,11.62,1362.85,11.48,1312.87,11.33,1291.29,11.14,1290.13,10.90,1306.16,10.61,1322.10,10.28,1327.48,
16384B_1W_64B_16384B_2W_64B,9.38,1035.41,8.35,993.51,7.63,969.91,7.34,948.59,7.17,944.35,7.05,943.83,6.97,943.20,
16384B_1W_64B_16384B_1W_64B,11.39,1187.18,10.43,1131.86,9.78,1095.65,9.46,1078.53,9.16,1060.45,9.11,1058.22,9.08,1056.64,
32768B_1W_64B_16384B_2W_64B,7.15,717.66,6.94,794.47,6.77,744.28,6.65,671.43,6.53,599.93,6.30,548.14,5.60,529.91,
16384B_1W_64B_32768B_1W_64B,9.28,918.75,9.06,976.72,8.79,925.06,8.47,833.94,8.11,742.70,7.62,670.25,6.68,627.64,
8192B_1W_64B_32768B_4W_64B,7.25,759.95,7.23,784.71,7.11,759.76,6.59,738.66,5.89,726.91,5.68,730.08,5.65,755.71,
8192B_1W_64B_32768B_2W_64B,8.25,887.11,7.98,874.31,7.69,826.04,7.09,760.83,6.24,711.83,5.89,682.24,5.78,674.82,
8192B_1W_64B_32768B_1W_64B,10.30,1069.50,10.12,1043.82,9.82,988.44,9.14,912.41,8.08,850.89,7.44,805.85,7.05,779.08,
8192B_1W_64B_16384B_1W_64B,11.62,1362.85,11.48,1312.87,11.33,1291.29,11.14,1290.13,10.90,1306.16,10.61,1322.10,10.28,1327.48,
8192B_1W_64B_16384B_2W_64B,9.91,1211.27,9.55,1169.82,9.25,1154.65,8.99,1154.11,8.79,1167.66,8.64,1175.02,8.53,1167.70,
32768B_1W_64B_32768B_4W_64B,5.25,742.55,5.25,759.58,5.25,741.16,5.24,759.96,5.24,764.92,5.24,757.72,5.24,747.60,
32768B_1W_64B_32768B_2W_64B,5.68,769.36,5.55,741.31,5.46,708.27,5.39,717.43,5.34,718.01,5.31,714.82,5.29,717.53,
32768B_1W_64B_32768B_1W_64B,8.36,882.23,7.40,826.95,6.75,790.63,6.43,772.69,6.33,766.63,6.07,752.13,6.04,750.47,
32768B_4W_64B_32768B_4W_64B,5.21,844.33,5.20,843.75,5.18,842.68,5.17,842.09,5.21,844.28,5.19,842.96,5.17,841.57,
32768B_4W_64B_32768B_1W_64B,5.25,742.55,5.25,759.58,5.25,741.16,5.24,759.96,5.24,764.92,5.24,757.72,5.24,747.60,
32768B_4W_64B_32768B_2W_64B,5.25,780.12,5.25,799.76,5.24,786.14,5.24,798.08,5.24,798.17,5.24,786.32,5.24,771.40,
16384B_2W_64B_32768B_4W_64B,6.37,558.50,6.37,749.28,6.37,752.58,6.36,787.77,6.32,813.40,6.06,833.04,5.33,870.58,
16384B_2W_64B_16384B_2W_64B,8.12,960.51,7.48,923.78,7.06,899.94,6.87,889.53,6.80,884.61,6.75,881.95,6.72,880.32,
16384B_2W_64B_16384B_1W_64B,9.38,1035.41,8.35,993.51,7.63,969.91,7.34,948.59,7.17,944.35,7.05,943.83,6.97,943.20,
32768B_1W_64B_8192B_1W_64B,10.30,1069.50,10.12,1043.82,9.82,988.44,9.14,912.41,8.08,850.89,7.44,805.85,7.05,779.08,
16384B_1W_64B_32768B_2W_64B,7.15,717.66,6.94,794.47,6.77,744.28,6.65,671.43,6.53,599.93,6.30,548.14,5.60,529.91,
16384B_1W_64B_32768B_4W_64B,6.38,530.09,6.38,676.51,6.37,657.07,6.37,653.81,6.33,647.19,6.10,649.05,5.39,679.57,
16384B_2W_64B_32768B_1W_64B,7.15,717.66,6.94,794.47,6.77,744.28,6.65,671.43,6.53,599.93,6.30,548.14,5.60,529.91,
16384B_2W_64B_32768B_2W_64B,6.44,583.71,6.42,690.65,6.40,651.78,6.39,609.72,6.35,568.06,6.14,543.25,5.46,552.27,
32768B_1W_64B_16384B_1W_64B,9.28,918.75,9.06,976.72,8.79,925.06,8.47,833.94,8.11,742.70,7.62,670.25,6.68,627.64,
32768B_4W_64B_16384B_1W_64B,6.38,530.09,6.38,676.51,6.37,657.07,6.37,653.81,6.33,647.19,6.10,649.05,5.39,679.57,
16384B_2W_64B_8192B_1W_64B,9.91,1211.27,9.55,1169.82,9.25,1154.65,8.99,1154.11,8.79,1167.66,8.64,1175.02,8.53,1167.70,
32768B_2W_64B_32768B_4W_64B,5.25,780.12,5.25,799.76,5.24,786.14,5.24,798.08,5.24,798.17,5.24,786.32,5.24,771.40,
32768B_2W_64B_32768B_2W_64B,5.27,728.74,5.26,728.51,5.22,726.42,5.20,724.88,5.28,729.54,5.24,727.68,5.21,725.65,
32768B_2W_64B_32768B_1W_64B,5.68,769.36,5.55,741.31,5.46,708.27,5.39,717.43,5.34,718.01,5.31,714.82,5.29,717.53,
32768B_2W_32B_16384B_1W_32B,8.83,685.66,8.49,613.26,8.17,540.46,7.90,493.40,7.68,475.40,7.50,459.04,7.37,618.59,
32768B_2W_32B_16384B_2W_32B,7.28,504.35,7.22,455.17,7.18,403.42,7.14,370.72,7.12,368.84,7.10,392.35,7.09,579.26,
32768B_2W_32B_8192B_1W_32B,10.24,824.40,9.89,758.33,9.55,705.67,9.24,683.89,8.96,673.87,8.73,667.45,8.46,743.43,
32768B_4W_32B_8192B_1W_32B,8.21,514.16,8.20,493.28,8.19,478.00,8.18,486.17,8.17,515.41,8.15,570.75,8.01,711.23,
