32768B_2W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
32768B_2W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
32768B_2W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
32768B_4W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
8192B_1W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
32768B_4W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
16384B_1W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
16384B_1W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
16384B_1W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
32768B_1W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
16384B_1W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
8192B_1W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
8192B_1W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
8192B_1W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
8192B_1W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
8192B_1W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
32768B_1W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
32768B_1W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
32768B_1W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
32768B_4W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
32768B_4W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
32768B_4W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
16384B_2W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
16384B_2W_64B_16384B_2W_64B,24.83,3626.17,23.68,3566.21,24.32,3600.09,23.41,3552.23,21.87,3469.24,21.79,3464.83,21.70,3461.15,
16384B_2W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
32768B_1W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
16384B_1W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
16384B_1W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
16384B_2W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
16384B_2W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
32768B_1W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
32768B_4W_64B_16384B_1W_64B,37.26,4404.88,32.37,4147.57,30.70,4058.85,29.79,4011.52,28.52,3943.18,28.18,3924.91,28.13,3925.54,
16384B_2W_64B_8192B_1W_64B,54.68,6400.84,49.79,6143.59,48.13,6055.72,47.22,6008.74,45.95,5941.34,45.61,5923.37,45.55,5926.97,
32768B_2W_64B_32768B_4W_64B,21.49,3934.60,20.85,3899.78,21.31,3924.45,20.93,3904.28,19.31,3817.59,19.33,3818.64,19.25,3815.16,
32768B_2W_64B_32768B_2W_64B,21.59,3345.15,20.93,3310.29,21.43,3336.22,21.00,3314.64,19.37,3226.85,19.37,3226.07,19.28,3221.69,
32768B_2W_64B_32768B_1W_64B,32.30,3854.36,27.41,3596.74,25.52,3497.52,24.83,3460.81,23.56,3392.17,23.23,3375.32,23.17,3373.32,
32768B_2W_32B_16384B_1W_32B,43.99,4519.09,41.25,4373.74,39.81,4297.09,36.03,4095.89,39.56,4284.35,32.56,3912.08,39.32,4272.90,
32768B_2W_32B_16384B_2W_32B,35.63,3898.63,35.37,3885.39,31.68,3688.19,30.13,3606.56,35.02,3866.91,27.79,3482.36,34.94,3862.62,
32768B_2W_32B_8192B_1W_32B,85.02,7806.54,82.29,7662.02,58.85,6412.88,54.79,6197.84,80.60,7573.18,51.22,6009.64,80.39,7565.50,
32768B_4W_32B_8192B_1W_32B,85.02,7806.54,82.29,7662.02,58.85,6412.88,54.79,6197.84,80.60,7573.18,51.22,6009.64,80.39,7565.50,
8192B_1W_32B_8192B_1W_32B,85.02,7806.54,82.29,7662.02,58.85,6412.88,54.79,6197.84,80.60,7573.18,51.22,6009.64,80.39,7565.50,
32768B_4W_32B_16384B_2W_32B,35.63,3898.63,35.37,3885.39,31.68,3688.19,30.13,3606.56,35.02,3866.91,27.79,3482.36,34.94,3862.62,
16384B_1W_32B_8192B_1W_32B,85.02,7806.54,82.29,7662.02,58.85,6412.88,54.79,6197.84,80.60,7573.18,51.22,6009.64,80.39,7565.50,
